Serial Number,Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Test,Population,2022 Population,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million
187,Samoa,16087,29.0,1605.0,14453.0,187397.0,202239.0,222382,304893.0,173862.0,131031.0,0.0,296358.0,152.34,86.87,65.47,4612.869158878505
188,Monaco,16056,65.0,15982.0,9.0,78646.0,39783.0,36469,65140.0,28875.0,25667.0,0.0,65072.0,164.83,73.06,64.95,4625.13202247191
189,Dominica,15760,74.0,15673.0,13.0,229344.0,72344.0,72737,62334.0,32403.0,29931.0,6417.0,62881.0,86.37,44.9,41.47,2140.673218673219
190,Djibouti,15690,189.0,15427.0,74.0,305941.0,1016097.0,1120849,165554.0,145050.0,105020.0,0.0,155429.0,16.52,14.47,10.48,460.3234421364985
193,Gambia,12586,372.0,12189.0,25.0,155686.0,2558482.0,2705992,363353.0,331266.0,318161.0,429.0,364195.0,14.61,13.32,12.79,389.5345744680851
195,Vanuatu,12014,14.0,11976.0,24.0,24976.0,321832.0,326740,199464.0,114284.0,85180.0,0.0,195446.0,63.43,36.34,27.09,2284.9411764705883
196,Greenland,11971,21.0,2761.0,9189.0,164926.0,56973.0,56466,79745.0,41243.0,38502.0,43336.0,77373.0,140.23,72.52,67.7,3367.7475247524753
197,Yemen,11945,2159.0,9124.0,662.0,329592.0,31154867.0,33696614,807502.0,643501.0,404781.0,0.0,794952.0,2.65,2.11,1.33,83.79742765273312
201,Niger,9931,312.0,8890.0,729.0,254538.0,26083660.0,26207977,2681673.0,2180972.0,1545630.0,0.0,2680539.0,10.67,8.68,6.15,295.46260387811634
203,Antigua and Barbuda,9106,146.0,8954.0,6.0,18901.0,99509.0,93763,125386.0,63836.0,61550.0,8412.0,127997.0,127.0,64.66,62.34,3315.7033248081843
204,Comoros,8992,161.0,8827.0,4.0,,907419.0,836774,637961.0,341102.0,301218.0,0.0,628825.0,71.81,38.39,33.9,2119.017964071856
