Tytuł,Cena,Ekran:,Procesor,RAM,Grafika:,Dysk SSD,System operacyjny,Firma procesora
"Laptop 2w1 Acer Aspire Spin 14 ASP14-51MTN-75S5 14"" Core 7 150U 16GB RAM 1TB Dysk SSD Win11 Szary",3499,"14 "", ekran dotykowy 1920 x 1200 pikseli 60 Hz",Intel® Core™ 7 150U,16,Intel® Graphics,1024,Windows 11 Home,Intel
"Laptop gamingowy Acer Nitro V 15 ANV15-41-R725 15,6"" 144Hz R5 7535HS 32GB RAM 1TB Dysk SSD RTX4060 DLSS3 Win11 Czarny",4999,"15,6 "", 1920 x 1080 pikseli 144 Hz",AMD Ryzen™ 5 7535HS,32,NVIDIA® GeForce RTX™ 4060 + AMD Radeon™ 660M,1024,Windows 11 Home,AMD
"Laptop 2w1 Lenovo Yoga Book 9 13IMU9 OLED 2x13,3"" Ultra 7 155U 32GB RAM 512GB Dysk SSD Win11 Srebrno-niebieski",12999,"13,3 "", ekran dotykowy 2880 x 1800 pikseli 60 Hz",Intel® Core™ Ultra 7 14gen 155U,32,Intel® Graphics,512,Windows 11 Home,Intel
"Laptop gamingowy Lenovo LOQ 15IAX9 15,6"" 144Hz i5-12450HX 16GB RAM 512GB Dysk SSD RTX4050 Szary",4299,"15,6 "", 1920 x 1080 pikseli 144 Hz",Intel® Core™ i5 12gen 12450HX,16,NVIDIA® GeForce RTX™ 4050 + Intel UHD Graphics,512,Brak,Intel
"Laptop ASUS Vivobook 16X M3604YA-MB187W 16"" R7 7730U 16GB RAM 1TB Dysk SSD Win11 Srebrny",3199,"16 "", 1920 x 1200 pikseli 60 Hz",AMD Ryzen™ 7 7730U,16,AMD Radeon™ Graphics,1024,Windows 11 Home,AMD
"Laptop gamingowy Acer Nitro 17 AN17-41-R7DP 17,3"" 165Hz R5 7535HS 16GB RAM 512GB Dysk SSD RTX4050 DLSS3 Win11 Czarny",5799,"17,3 "", 1920 x 1080 pikseli 165 Hz",AMD Ryzen™ 5 7535HS,16,NVIDIA® GeForce RTX™ 4050 + AMD Radeon™ 660M,512,Windows 11 Home,AMD
"Laptop 2w1 Lenovo Yoga 7 14AHP9 OLED 14"" R5 8640HS 16GB RAM 1TB Dysk SSD Win11 Szary",4499,"14 "", ekran dotykowy 1920 x 1080 pikseli 60 Hz",AMD Ryzen™ 5 8640HS,16,AMD Radeon™ 760M Graphics,1024,Windows 11 Home,AMD
"Laptop gamingowy Lenovo LOQ 15IAX9 15,6"" 144Hz i5-12450HX 16GB RAM 512GB Dysk SSD RTX3050 Szary",2999,"15,6 "", 1920 x 1080 pikseli 144 Hz",Intel® Core™ i5 12gen 12450HX,16,NVIDIA® GeForce RTX™ 3050 + Intel UHD Graphics,512,Brak,Intel
"Laptop gamingowy MSI Katana 15 B13VFK-2041PL 15,6"" 144Hz i7-13620H 16GB RAM 1TB Dysk SSD RTX4060 DLSS3 Win11 Czarny",5099,"15,6 "", 1920 x 1080 pikseli 144 Hz",Intel® Core™ i7 13gen 13620H,16,NVIDIA® GeForce RTX™ 4060 + Intel UHD Graphics,1024,Windows 11 Home,Intel
"Laptop HP Pavilion 15-eh3412nw 15,6"" R5 7530U 16GB RAM 512GB Dysk SSD Win11 Srebrny",2399,"15,6 "", 1920 x 1080 pikseli 60 Hz",AMD Ryzen™ 5 7530U,16,AMD Radeon™ Graphics,512,Windows 11 Home,AMD
