Date_reported,Country,New_deaths,New_cases,daily_vaccinations,Year,Month,Day,Day_of_Week
2021-03-09,Japan,46.0,1058.0,10398.0,2021,3,9,1
2021-03-09,Germany,0.0,0.0,230386.0,2021,3,9,1
2021-03-09,Pakistan,22.0,1592.0,13196.0,2021,3,9,1
2021-03-09,South Africa,125.0,638.0,4431.0,2021,3,9,1
2021-03-09,Australia,0.0,15.0,8180.0,2021,3,9,1
2021-03-10,Australia,0.0,14.0,9142.0,2021,3,10,2
2021-03-10,Pakistan,54.0,1353.0,13196.0,2021,3,10,2
2021-03-10,South Africa,103.0,991.0,6474.0,2021,3,10,2
2021-03-10,Germany,0.0,0.0,236304.0,2021,3,10,2
2021-03-10,United States,802.0,42703.0,2487239.0,2021,3,10,2
2021-03-10,Japan,54.0,1272.0,15950.0,2021,3,10,2
2021-03-11,United States,1201.0,54088.0,2521007.0,2021,3,11,3
2021-03-11,Japan,49.0,1288.0,20287.0,2021,3,11,3
2021-03-11,Germany,0.0,0.0,241927.0,2021,3,11,3
2021-03-11,Pakistan,43.0,1786.0,13196.0,2021,3,11,3
2021-03-11,South Africa,109.0,1477.0,6569.0,2021,3,11,3
2021-03-11,Australia,0.0,15.0,9035.0,2021,3,11,3
2021-03-12,Australia,1.0,12.0,11765.0,2021,3,12,4
2021-03-12,Pakistan,53.0,2258.0,13196.0,2021,3,12,4
2021-03-12,South Africa,95.0,1474.0,6434.0,2021,3,12,4
2021-03-12,Germany,0.0,0.0,249357.0,2021,3,12,4
2021-03-12,United States,1576.0,61755.0,2549364.0,2021,3,12,4
2021-03-12,Japan,49.0,1296.0,26296.0,2021,3,12,4
2021-03-13,United States,1317.0,59764.0,2568290.0,2021,3,13,5
2021-03-13,Japan,58.0,1288.0,27982.0,2021,3,13,5
2021-03-13,Germany,0.0,0.0,254847.0,2021,3,13,5
2021-03-13,Pakistan,53.0,2701.0,13196.0,2021,3,13,5
2021-03-13,South Africa,69.0,1225.0,6282.0,2021,3,13,5
2021-03-13,Australia,0.0,10.0,11601.0,2021,3,13,5
2021-03-14,Australia,0.0,5.0,11202.0,2021,3,14,6
2021-03-14,Pakistan,46.0,2338.0,13196.0,2021,3,14,6
2021-03-14,South Africa,82.0,1541.0,6439.0,2021,3,14,6
