Tytuł,Cena,Sklep,Procesor,Pamięć,Grafika,Typ ekranu,Dysk
Apple MacBook Pro M4 Pro/48GB/1TB/Mac OS Srebrny 16R GPU Nano,"14 249,00 zł",xkom,Apple M4 Pro,48 GB,Apple M4 Pro [16 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4 Pro/48GB/1TB/Mac OS Srebrny 16R GPU,"13 499,00 zł",xkom,Apple M4 Pro,48 GB,Apple M4 Pro [16 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4 Pro/24GB/1TB/Mac OS Srebrny 16R GPU Nano,"12 249,00 zł",xkom,Apple M4 Pro,24 GB,Apple M4 Pro [16 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4 Pro/24GB/1TB/Mac OS Srebrny 16R GPU,"11 499,00 zł",xkom,Apple M4 Pro,24 GB,Apple M4 Pro [16 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4 Pro/24GB/512/Mac OS Srebrny 16R GPU Nano,"11 249,00 zł",xkom,Apple M4 Pro,24 GB,Apple M4 Pro [16 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4 Pro/48GB/1TB/Mac OS Gwiezdna Czerń 16R Nano,"14 249,00 zł",xkom,Apple M4 Pro,48 GB,Apple M4 Pro [16 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4 Pro/48GB/1TB/Mac OS Gwiezdna Czerń 16R GPU,"13 499,00 zł",xkom,Apple M4 Pro,48 GB,Apple M4 Pro [16 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4 Pro/24GB/1TB/Mac OS Gwiezdna Czerń 16R Nano,"12 249,00 zł",xkom,Apple M4 Pro,24 GB,Apple M4 Pro [16 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4 Pro/24GB/1TB/Mac OS Gwiezdna Czerń 16R GPU,"11 499,00 zł",xkom,Apple M4 Pro,24 GB,Apple M4 Pro [16 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4 Pro/24GB/512/Mac OS Gwiezdna Czerń 16R Nano,"11 249,00 zł",xkom,Apple M4 Pro,24 GB,Apple M4 Pro [16 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4/32GB/2TB/Mac OS Srebrny 10R GPU,"13 499,00 zł",xkom,Apple M4,32 GB,Apple M4 [10 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4/32GB/1TB/Mac OS Srebrny 10R GPU Nano,"12 249,00 zł",xkom,Apple M4,32 GB,Apple M4 [10 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4/32GB/1TB/Mac OS Srebrny 10R GPU,"11 499,00 zł",xkom,Apple M4,32 GB,Apple M4 [10 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4/24GB/1TB/Mac OS Srebrny 10R GPU Nano,"11 249,00 zł",xkom,Apple M4,24 GB,Apple M4 [10 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4/32GB/2TB/Mac OS Gwiezdna Czerń 10R GPU,"13 499,00 zł",xkom,Apple M4,32 GB,Apple M4 [10 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4/32GB/1TB/Mac OS Gwiezdna Czerń 10R GPU Nano,"12 249,00 zł",xkom,Apple M4,32 GB,Apple M4 [10 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4/32GB/1TB/Mac OS Gwiezdna Czerń 10R GPU,"11 499,00 zł",xkom,Apple M4,32 GB,Apple M4 [10 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4/24GB/1TB/Mac OS Gwiezdna Czerń 10R GPU Nano,"11 249,00 zł",xkom,Apple M4,24 GB,Apple M4 [10 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4/16GB/1TB/Mac OS Srebrny 10R GPU US,"9 499,00 zł",xkom,Apple M4,16 GB,Apple M4 [10 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4/16GB/1TB/Mac OS Srebrny 10R GPU Nano,"10 249,00 zł",xkom,Apple M4,16 GB,Apple M4 [10 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4/16GB/1TB/Mac OS Gwiezdna Czerń 10R GPU US,"9 499,00 zł",xkom,Apple M4,16 GB,Apple M4 [10 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4/16GB/1TB/Mac OS Gwiezdna Czerń 10R GPU Nano,"10 249,00 zł",xkom,Apple M4,16 GB,Apple M4 [10 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4/24GB/512/Mac OS Srebrny 10R GPU Nano,"10 249,00 zł",xkom,Apple M4,24 GB,Apple M4 [10 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4/32GB/512/Mac OS Srebrny 10R GPU Nano,"11 249,00 zł",xkom,Apple M4,32 GB,Apple M4 [10 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4/32GB/512/Mac OS Srebrny 10R GPU,"10 499,00 zł",xkom,Apple M4,32 GB,Apple M4 [10 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4/24GB/512/Mac OS Srebrny 10R GPU,"9 499,00 zł",xkom,Apple M4,24 GB,Apple M4 [10 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4/16GB/512/Mac OS Srebrny 10R GPU US Nano,"9 249,00 zł",xkom,Apple M4,16 GB,Apple M4 [10 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4/16GB/512/Mac OS Srebrny 10R GPU US,"8 499,00 zł",xkom,Apple M4,16 GB,Apple M4 [10 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4/16GB/512/Mac OS Srebrny 10R GPU Nano,"9 249,00 zł",xkom,Apple M4,16 GB,Apple M4 [10 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4/24GB/512/Mac OS Gwiezdna Czerń 10R GPU Nano,"10 249,00 zł",xkom,Apple M4,24 GB,Apple M4 [10 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4/32GB/512/Mac OS Gwiezdna Czerń 10R GPU Nano,"11 249,00 zł",xkom,Apple M4,32 GB,Apple M4 [10 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
