Tytuł,Cena,Sklep,Procesor,Pamięć,Grafika,Typ ekranu,Dysk
Acer Nitro 16 R7‑8845HS/16GB/512/Win11PX RTX4060 165Hz,"5 649,00 zł",xkom,AMD Ryzen™ 7 8845HS,16 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
Acer Nitro 16 i5‑13420H/16GB/512+1TB/Win11PX RTX4050 165Hz,"4 949,00 zł",xkom,Intel® Core™ i5-13420H,16 GB,NVIDIA GeForce RTX 4050,"Matowy, LED, IPS",
Acer Nitro 16 i5‑13420H/32GB/512/Win11PX RTX4050 165Hz,"4 949,00 zł",xkom,Intel® Core™ i5-13420H,32 GB,NVIDIA GeForce RTX 4050,"Matowy, LED, IPS",
Acer Nitro 16 R7‑8845HS/16GB/1TB+1TB/Win11X RTX4070 165Hz QHD,"7 299,00 zł",xkom,AMD Ryzen™ 7 8845HS,16 GB,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",
Lenovo ThinkPad T14 Ultra 7‑155U/16GB/1TB/Win11P,"8 599,00 zł",xkom,Intel® Core™ Ultra 7 155U,16 GB,Intel® Graphics,"Matowy, LED, IPS",
Lenovo ThinkPad T14 Ultra 7‑155U/16GB/512/Win11P,"6 899,00 zł",xkom,Intel® Core™ Ultra 7 155U,16 GB,Intel® Graphics,"Matowy, LED, IPS",
MSI Prestige 16Evo i7‑13700H/16GB/1TB/Win11,"4 499,00 zł",xkom,Intel® Core™ i7-13700H,16 GB,Intel Iris Xe Graphics,"Matowy, LED, IPS",
HP EliteBook 860 G11 Ultra 7‑155U/16GB/512/win11P SV 4G,"7 599,00 zł",xkom,Intel® Core™ Ultra 7 155U,16 GB,Intel® Graphics,"Matowy, LED, IPS",
HP EliteBook 860 G11 Ultra 5‑125U/16GB/512/Win11P 5G,"6 699,00 zł",xkom,Intel® Core™ Ultra 5 125U,16 GB,Intel® Graphics,"Matowy, LED, IPS",
HP EliteBook 860 G11 Ultra 5‑125U/16GB/512/Win11P 4G,"6 699,00 zł",xkom,Intel® Core™ Ultra 5 125U,16 GB,Intel® Graphics,"Matowy, LED, IPS",
Lenovo LOQ‑15 i5‑12450HX/32GB/512/Win11 RTX4050 144Hz,"4 399,00 zł",xkom,Intel® Core™ i5-12450HX,32 GB,NVIDIA GeForce RTX 4050,"Matowy, LED, IPS",
Dell Inspiron 5440 i5‑1334U/16GB/1TB/Win11,"3 399,00 zł",xkom,Intel® Core™ i5-1334U,16 GB,Intel Iris Xe Graphics,"Matowy, LED, WVA",
Dell Precision 5690 Ultra 9 185H/64GB/2TB/Win11P RTX4000,"26 999,00 zł",xkom,Intel® Core™ Ultra 9 185H,64 GB,NVIDIA RTX 4000,"Matowy, LED",
HP EliteBook 840 G11 Ultra 7‑155H/16GB/512/Win11P,"7 299,00 zł",xkom,Intel® Core™ Ultra 7 155H,16 GB,Intel Arc™ Graphics,"Matowy, LED, IPS",
HP EliteBook 840 G11 Ultra 7‑155U/16GB/512/Win11P,"7 099,00 zł",xkom,Intel® Core™ Ultra 7 155U,16 GB,Intel® Graphics,"Matowy, LED, IPS",
HP EliteBook 840 G11 Ultra 5‑125U/16GB/512/Win11P 5G,"6 499,00 zł",xkom,Intel® Core™ Ultra 5 125U,16 GB,Intel® Graphics,"Matowy, LED, IPS",
HP EliteBook 840 G11 Ultra 5‑125U/16GB/512/Win11P 4G,"6 499,00 zł",xkom,Intel® Core™ Ultra 5 125U,16 GB,Intel® Graphics,"Matowy, LED, IPS",
HP EliteBook 840 G11 Ultra 5‑125H/16GB/512/Win11P,"6 299,00 zł",xkom,Intel® Core™ Ultra 5 125H,16 GB,Intel® Graphics,"Matowy, LED, IPS",
HP EliteBook 840 G11 Ultra 5‑125U/16GB/512/Win11P,"6 199,00 zł",xkom,Intel® Core™ Ultra 5 125U,16 GB,Intel® Graphics,"Matowy, LED, IPS",
HP EliteBook 830 G11 Ultra 7‑155U/16GB/512/Win11P SV,"7 499,00 zł",xkom,Intel® Core™ Ultra 7 155U,16 GB,Intel® Graphics,"Matowy, LED, IPS",
Razer Blade 16 i9‑14900HX/32GB/1TB/Win11 RTX4080 240Hz,"18 199,00 zł",xkom,Intel® Core™ i9-14900HX,32 GB,NVIDIA GeForce RTX 4080,"Matowy, OLED",
Razer Blade 16 i9‑14900HX/32GB/2TB/Win11 RTX4080,"18 999,00 zł",xkom,Intel® Core™ i9-14900HX,32 GB,NVIDIA GeForce RTX 4080,"Matowy, mini-LED",
Razer Blade 16 i9‑14900HX/16GB/2TB/Win11 RTX4070,"16 899,00 zł",xkom,Intel® Core™ i9-14900HX,16 GB,NVIDIA GeForce RTX 4070,"Matowy, mini-LED",
ASUS Vivobook 16X i5‑12500H/16GB/1TB/Win11 RTX4050,"4 299,00 zł",xkom,Intel® Core™ i5-12500H,16 GB,NVIDIA GeForce RTX 4050 + Intel UHD Graphics,"Matowy, LED, IPS",
ASUS ROG Zephyrus G14 R9‑8945HS/16GB/1TB/W11PX RTX4060 OLED 120Hz,"8 999,00 zł",xkom,AMD Ryzen™ 9 8945HS,16 GB,NVIDIA GeForce RTX 4060,"Błyszczący, OLED",
ASUS ROG Zephyrus G14 R9‑8945HS/16GB/1TB/W11X RTX4060 OLED 120Hz,"8 799,00 zł",xkom,AMD Ryzen™ 9 8945HS,16 GB,NVIDIA GeForce RTX 4060,"Błyszczący, OLED",
ASUS ROG Zephyrus G14 R9‑8945HS/16GB/1TB RTX4060 OLED 120Hz,"8 299,00 zł",xkom,AMD Ryzen™ 9 8945HS,16 GB,NVIDIA GeForce RTX 4060,"Błyszczący, OLED",
ASUS ROG Zephyrus G14 R7‑8845HS/16GB/1TB/W11PX RTX4060 OLED 120Hz,"8 499,00 zł",xkom,AMD Ryzen™ 7 8845HS,16 GB,NVIDIA GeForce RTX 4060,"Błyszczący, OLED",
ASUS ROG Zephyrus G14 R7‑8845HS/16GB/1TB/W11X RTX4060 OLED 120Hz,"8 299,00 zł",xkom,AMD Ryzen™ 7 8845HS,16 GB,NVIDIA GeForce RTX 4060,"Błyszczący, OLED",
Apple MacBook Air M2/16GB/1TB/Mac OS Srebrny,"8 199,00 zł",xkom,Apple M2,16 GB,Apple M2 [10 rdzeni],"Błyszczący, LED, IPS, Liquid Retina",
Apple MacBook Air M2/16GB/1TB/Mac OS Księżycowa poświata,"8 199,00 zł",xkom,Apple M2,16 GB,Apple M2 [10 rdzeni],"Błyszczący, LED, IPS, Liquid Retina",
Apple MacBook Air M2/16GB/1TB/Mac OS Północ,"8 199,00 zł",xkom,Apple M2,16 GB,Apple M2 [10 rdzeni],"Błyszczący, LED, IPS, Liquid Retina",
Acer Swift X Ultra 7 155H/32GB/1TB/Win11 RTX3050 OLED 120Hz,"6 699,00 zł",xkom,Intel® Core™ Ultra 7 155H,32 GB,NVIDIA GeForce RTX 3050,"Błyszczący, OLED",
HP EliteBook 845 G10 Ryzen 7 Pro‑7840U/16GB/512/Win11P,"5 999,00 zł",xkom,AMD Ryzen™ 7 PRO 7840U,16 GB,AMD Radeon™ Graphics,"Matowy, LED, IPS",
ASUS TUF Gaming A15 R7‑7435HS/32GB/1TB RTX3050 144Hz,"3 999,00 zł",xkom,AMD Ryzen™ 7 7435HS,32 GB,NVIDIA GeForce RTX 3050,"Matowy, LED, IPS",
ASUS TUF Gaming A15 R7‑7435HS/16GB/1TB RTX3050 144Hz,"3 699,00 zł",xkom,AMD Ryzen™ 7 7435HS,16 GB,NVIDIA GeForce RTX 3050,"Matowy, LED, IPS",
ASUS TUF Gaming A15 R7‑7435HS/32GB/512 RTX3050 144Hz,"3 699,00 zł",xkom,AMD Ryzen™ 7 7435HS,32 GB,NVIDIA GeForce RTX 3050,"Matowy, LED, IPS",
ASUS TUF Gaming A15 R7‑7435HS/16GB/512 RTX3050 144Hz,"3 399,00 zł",xkom,AMD Ryzen™ 7 7435HS,16 GB,NVIDIA GeForce RTX 3050,"Matowy, LED, IPS",
ASUS TUF Gaming A15 R7‑7435HS/16GB/512/Win11 RTX4060 144Hz,"4 999,00 zł",xkom,AMD Ryzen™ 7 7435HS,16 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
ASUS TUF Gaming A15 R7‑7435HS/16GB/1TB/Win11 RTX4050 144Hz,"4 599,00 zł",xkom,AMD Ryzen™ 7 7435HS,16 GB,NVIDIA GeForce RTX 4050,"Matowy, LED, IPS",
ASUS TUF Gaming A15 R7‑7435HS/32GB/1TB/Win11 RTX3050 144Hz,"4 399,00 zł",xkom,AMD Ryzen™ 7 7435HS,32 GB,NVIDIA GeForce RTX 3050,"Matowy, LED, IPS",
Acer Nitro V i5‑13420H/32GB/1TB+1TB/Win11 RTX2050 144Hz,"3 749,00 zł",xkom,Intel® Core™ i5-13420H,16 GB,NVIDIA GeForce RTX 2050,"Matowy, LED, IPS",
Acer Nitro V i5‑13420H/16GB/1TB+1TB/Win11 RTX2050 144Hz,"3 449,00 zł",xkom,Intel® Core™ i5-13420H,16 GB,NVIDIA GeForce RTX 2050,"Matowy, LED, IPS",
Acer Swift Go Ultra 5 125U/16GB/1TB/Win11,"4 049,00 zł",xkom,Intel® Core™ Ultra 5 125U,16 GB,Intel® Graphics,"Matowy, LED, IPS",
HP OmniBook X AI Elite X X1E‑78‑100/16GB/512/Win11,"5 399,00 zł",xkom,Qualcomm Snapdragon X Elite,16 GB,Qualcomm® Adreno™,"Błyszczący, LED, IPS",
HP ZBook Power 16 G11 Ryzen 9 Pro‑8945HS/64GB/1TB/Win11P 120Hz,"9 699,00 zł",xkom,AMD Ryzen™ 9 8945HS,64 GB,AMD Radeon™ 780M,"Matowy, LED, IPS",
HP ZBook Power 16 G11 Ryzen 7 Pro‑8845HS/32GB/1TB/Win11P 120Hz,"7 999,00 zł",xkom,AMD Ryzen™ 7 8845HS,32 GB,AMD Radeon™ 780M,"Matowy, LED, IPS",
HP ZBook Power 16 G11 Ultra 5‑135H/16GB/1TB/Win11P RTX 1000,"9 299,00 zł",xkom,Intel® Core™ Ultra 5 135H,16 GB,NVIDIA RTX 1000 Ada,"Matowy, LED, IPS",
HP ZBook Power 16 G11 Ultra 7‑155H/32GB/1TB/Win11P RTX 2000,"10 799,00 zł",xkom,Intel® Core™ Ultra 7 155H,32 GB,NVIDIA RTX 2000 Ada,"Matowy, LED, IPS",
HP ZBook Power 16 G11 Ultra 9‑185H/64GB/1TB/W11P RTX 3000 120Hz,"15 199,00 zł",xkom,Intel® Core™ Ultra 9 185H,64 GB,NVIDIA RTX 3000 Ada,"Matowy, LED, IPS",
HP ZBook Firefly 16 G11 Ultra 7‑165H/32GB/1TB/Win11P Touch,"8 999,00 zł",xkom,Intel® Core™ Ultra 7 165H,32 GB,NVIDIA RTX A500,"Matowy, LED, IPS",
HP ZBook Firefly 16 G11 Ultra 7‑155H/32GB/1TB/Win11P RTX A500,"8 799,00 zł",xkom,Intel® Core™ Ultra 7 155H,32 GB,NVIDIA RTX A500,"Matowy, LED, WVA",
HP ZBook Firefly 16 G11 Ultra 5‑135H/32GB/1TB/Win11P Touch,"8 299,00 zł",xkom,Intel® Core™ Ultra 5 135H,32 GB,NVIDIA RTX A500,"Matowy, LED, IPS",
HP ZBook Firefly 14 G11 Ryzen 5 Pro‑8640HS/16GB/1TB/Win11P,"6 499,00 zł",xkom,AMD Ryzen™ 5 8640HS,16 GB,AMD Radeon™ 760M,"Matowy, LED, IPS",
HP ZBook Firefly 14 G11 Ryzen 7 Pro‑8840HS/32GB/1TB/W11P 120Hz,"7 899,00 zł",xkom,AMD Ryzen™ 7 8840HS,32 GB,AMD Radeon™ 780M,"Matowy, LED, IPS",
HP ZBook Firefly 14 G11 Ultra 7‑155U/32GB/1TB/Win11P,"7 699,00 zł",xkom,Intel® Core™ Ultra 7 155U,32 GB,Intel Arc™ Graphics,"Matowy, LED, IPS",
HP ZBook Firefly 14 G11 Ultra 7‑165H/32GB/1TB/Win11P,"9 299,00 zł",xkom,Intel® Core™ Ultra 7 165H,32 GB,Intel® Graphics,"Matowy, LED, IPS",
HP ZBook Firefly 14 G11 Ultra 7‑165U/32GB/1TB/Win11P,"8 099,00 zł",xkom,Intel® Core™ Ultra 7 165U,32 GB,Intel® Graphics,"Matowy, LED, IPS",
HP ZBook Firefly 14 G11 Ultra 5‑135H/16GB/1TB/Win11P,"7 799,00 zł",xkom,Intel® Core™ Ultra 5 135H,16 GB,NVIDIA RTX A500,"Matowy, LED, IPS",
Acer Swift Go Ultra 7 155H/16GB/512/Win11 OLED,"3 999,00 zł",xkom,Intel® Core™ Ultra 7 155H,16 GB,Intel Arc™ Graphics,"Błyszczący, OLED",
HP OmniBook X AI X Elite X1E‑78‑100/16GB/1TB/Win11,"6 499,00 zł",xkom,Qualcomm Snapdragon X Elite,16 GB,Qualcomm® Adreno™,"Błyszczący, LED, IPS",
Dell Precision 5490 Ultra 7 165H/32GB/1TB/Win11P RTX2000,"15 399,00 zł",xkom,Intel® Core™ Ultra 7 165H,32 GB,NVIDIA RTX 2000 Ada,"Matowy, LED, IPS",
Dell Precision 3591 Ultra 7 155H/16GB/512/Win11P RTX500,"8 999,00 zł",xkom,Intel® Core™ Ultra 7 155H,16 GB,NVIDIA RTX 500 Ada,"Matowy, LED, IPS",
Dell Precision 3591 Ultra 7 155H/16GB/512/Win11P RTX1000,"9 999,00 zł",xkom,Intel® Core™ Ultra 7 155H,16 GB,NVIDIA RTX 1000 Ada,"Matowy, LED, IPS",
Dell Precision 3590 Ultra 7 165H/16GB/512/Win11P RTX500,"8 999,00 zł",xkom,Intel® Core™ Ultra 7 165H,16 GB,NVIDIA RTX 500 Ada,"Matowy, LED",
Dell Precision 3590 Ultra 7 155H/16GB/512/Win11P RTX500,"7 890,00 zł",xkom,Intel® Core™ Ultra 7 155H,16 GB,NVIDIA RTX 500 Ada,"Matowy, LED",
Dell Precision 3590 Ultra 5 125H/16GB/512/Win11P,"6 999,00 zł",xkom,Intel® Core™ Ultra 5 125H,16 GB,Intel® Graphics,"Matowy, LED",
Dell Precision 3490 Ultra 7 155H/16GB/1TB/Win11P RTX500,"8 599,00 zł",xkom,Intel® Core™ Ultra 7 155H,16 GB,NVIDIA RTX 500 Ada,"Matowy, LED, IPS",
Dell Precision 3490 Ultra 7 155H/16GB/512/Win11P RTX500,"8 399,00 zł",xkom,Intel® Core™ Ultra 7 155H,16 GB,NVIDIA RTX 500 Ada,"Matowy, LED, IPS",
Lenovo ThinkBook 16 Ultra5‑125U/8GB/512/Win11P,"3 799,00 zł",xkom,Intel® Core™ Ultra 5 125U,8 GB,Intel® Graphics,"Matowy, LED",
Lenovo ThinkBook 14 Ultra5‑125U/8GB/512/Win11P,"4 099,00 zł",xkom,Intel® Core™ Ultra 5 125U,8 GB,Intel® Graphics,"Matowy, LED, IPS",
Lenovo ThinkPad T16 Ryzen 5 PRO 7540U/16GB/512/Win11P,"6 199,00 zł",xkom,AMD Ryzen™ 5 PRO 7540U,16 GB,AMD Radeon™ 740M,"Matowy, LED, IPS",
HP Dragonfly Pro One Ryzen 7‑7736U/32GB/1TB/Win11Px White,"4 699,00 zł",xkom,AMD Ryzen™ 7 7736U,32 GB,AMD Radeon™ Graphics,"Błyszczący, LED, IPS",
ASUS Vivobook 16X i5‑12500H/16GB/1TB/Win11 RTX4050,"4 599,00 zł",xkom,Intel® Core™ i5-12500H,16 GB,NVIDIA GeForce RTX 4050,"Matowy, LED, IPS",
ASUS TUF Gaming F16 i7‑13650HX/16GB/1TB/Win11X RTX4060 165Hz,"5 899,00 zł",xkom,Intel® Core™ i7-13650HX,16 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
ASUS Zenbook S13 UX5304MA Ultra 7‑155U/32GB/1TB/Win11 OLED,"7 099,00 zł",xkom,Intel® Core™ Ultra 7 155U,32 GB,Intel® Graphics,"Błyszczący, OLED",
Dell Latitude 9450 2w1 Ultra 7 165U/32GB/1TB/Win11P QHD+ Touch,"14 699,00 zł",xkom,Intel® Core™ Ultra 7 165U,32 GB,Intel® Graphics,"Matowy, LED, IPS",
Dell Latitude 9450 2w1 Ultra 7 165U/32GB/512/Win11P QHD+ Touch,"14 399,00 zł",xkom,Intel® Core™ Ultra 7 165U,32 GB,Intel® Graphics,"Matowy, LED, IPS",
Dell Latitude 7650 Ultra 7 165U/32GB/512/Win11P,"9 299,00 zł",xkom,Intel® Core™ Ultra 7 165U,32 GB,Intel® Graphics,"Matowy, LED, WVA",
Dell Latitude 7650 Ultra 7 165U/16GB/512/Win11P,"8 699,00 zł",xkom,Intel® Core™ Ultra 7 165U,16 GB,Intel® Graphics,"Matowy, LED, WVA",
Dell Latitude 7650 Ultra 7 155U/16GB/512/Win11P,"8 299,00 zł",xkom,Intel® Core™ Ultra 7 155U,16 GB,Intel® Graphics,"Matowy, LED, WVA",
Dell Latitude 7450 Ultra 7 165U/16GB/512/Win11P,"8 499,00 zł",xkom,Intel® Core™ Ultra 7 165U,16 GB,Intel® Graphics,"Matowy, LED, WVA",
Dell Latitude 7450 Ultra 7 165U/16GB/512/Win11P,"8 199,00 zł",xkom,Intel® Core™ Ultra 7 165U,16 GB,Intel® Graphics,"Matowy, LED, WVA",
Dell Latitude 7450 Ultra 5 135U/16GB/512/Win11P,"7 199,00 zł",xkom,Intel® Core™ Ultra 5 135U,16 GB,Intel® Graphics,"Matowy, LED, WVA",
Dell Latitude 7350 2w1 Ultra 5 134U/16GB/512/Win11P 3K Touch,"9 799,00 zł",xkom,Intel® Core™ Ultra 5 134U,16 GB,Intel® Graphics,"Matowy, LED, IPS",
Dell Latitude 7350 Ultra 7 165U/32GB/512/Win11P,"10 399,00 zł",xkom,Intel® Core™ Ultra 7 165U,32 GB,Intel® Graphics,"Matowy, LED, WVA",
Dell Latitude 7350 Ultra 7 165U/16GB/512/Win11P,"8 699,00 zł",xkom,Intel® Core™ Ultra 7 165U,16 GB,Intel® Graphics,"Matowy, LED, WVA",
Dell Latitude 5550 Ultra 5 135U/16GB/1TB/Win11P,"6 289,00 zł",xkom,Intel® Core™ Ultra 5 135U,16 GB,Intel® Graphics,"Matowy, LED, IPS",
Dell Latitude 5550 i5‑1335U/8GB/512/Win11P,"5 549,00 zł",xkom,Intel® Core™ i5-1335U,8 GB,Intel UHD,"Matowy, LED, IPS",
Dell Latitude 5550 i5‑1335U/16GB/512/Win11P,"5 649,00 zł",xkom,Intel® Core™ i5-1335U,16 GB,Intel Iris Xe Graphics,"Matowy, LED, IPS",
Dell Latitude 5450 i5‑1345U/16GB/512/Win11P,"5 799,00 zł",xkom,Intel® Core™ i5-1345U,16 GB,Intel Iris Xe Graphics,"Matowy, LED, IPS",
Dell Latitude 5450 Ultra 7 165U/16GB/512/Win11P,"6 999,00 zł",xkom,Intel® Core™ Ultra 7 165U,16 GB,Intel® Graphics,"Matowy, LED, IPS",
Dell Latitude 5450 Ultra 7 165U/16GB/1TB/Win11P,"7 299,00 zł",xkom,Intel® Core™ Ultra 7 165U,16 GB,Intel® Graphics,"Matowy, LED, IPS",
Dell Latitude 5450 Ultra 5 135U/16GB/1TB/Win11P,"6 099,00 zł",xkom,Intel® Core™ Ultra 5 135U,16 GB,Intel® Graphics,"Matowy, LED, IPS",
Dell Latitude 5450 Ultra 5 125U/8GB/512/Win11P,"5 249,00 zł",xkom,Intel® Core™ Ultra 5 125U,8 GB,Intel® Graphics,"Matowy, LED, IPS",
Dell Latitude 5450 i5‑1335U/16GB/512/Win11P,"5 449,00 zł",xkom,Intel® Core™ i5-1335U,16 GB,Intel UHD Graphics,"Matowy, LED, IPS",
Dell Latitude 5450 i5‑1335U/8GB/512/Win11P,"5 349,00 zł",xkom,Intel® Core™ i5-1335U,8 GB,Intel UHD Graphics,"Matowy, LED, IPS",
Dell Latitude 5350 Ultra 5 135U/16GB/512/Win11P Touch,"6 349,00 zł",xkom,Intel® Core™ Ultra 5 135U,16 GB,Intel® Graphics,"Matowy, LED",
Dell Latitude 5350 i5‑1345U/16GB/512/Win11P,"5 999,00 zł",xkom,Intel® Core™ i5-1345U,16 GB,Intel Iris Xe Graphics,"Matowy, LED, IPS",
Dell Latitude 5350 i5‑1335U/16GB/512/Win11P,"5 899,00 zł",xkom,Intel® Core™ i5-1335U,16 GB,Intel Iris Xe Graphics,"Matowy, LED, IPS",
Acer Nitro 17 R7‑8845HS/16GB/1TB+1TB/Win11PX RTX4070 165Hz QHD,"7 699,00 zł",xkom,AMD Ryzen™ 7 8845HS,16 GB,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",
Acer Nitro 17 R7‑8845HS/16GB/1TB+1TB/Win11X RTX4070 165Hz QHD,"7 549,00 zł",xkom,AMD Ryzen™ 7 8845HS,16 GB,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",
Acer Nitro 17 R7‑8845HS/16GB/1TB+1TB RTX4070 165Hz QHD,"7 049,00 zł",xkom,AMD Ryzen™ 7 8845HS,16 GB,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",
Acer Nitro 17 R7‑8845HS/16GB/1TB/Win11PX RTX4070 165Hz QHD,"7 399,00 zł",xkom,AMD Ryzen™ 7 8845HS,16 GB,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",
Acer Nitro 17 R7‑8845HS/16GB/1TB/Win11X RTX4070 165Hz QHD,"7 249,00 zł",xkom,AMD Ryzen™ 7 7840HS,16 GB,NVIDIA GeForce RTX 4070 + AMD Radeon™ Graphics,"Matowy, LED, IPS",
Acer Nitro V R5‑7535HS/16GB/1TB+1TB/Win11PX RTX3050 144Hz,"4 099,00 zł",xkom,AMD Ryzen™ 5 7535HS,16 GB,NVIDIA GeForce RTX 3050,"Matowy, LED",
Acer Nitro V R5‑7535HS/32GB/1TB+1TB/Win11PX RTX3050 144Hz,"4 399,00 zł",xkom,AMD Ryzen™ 5 7535HS,32 GB,NVIDIA GeForce RTX 3050,"Matowy, LED",
Acer Nitro V R5‑7535HS/16GB/1TB+1TB/Win11X RTX3050 144Hz,"3 949,00 zł",xkom,AMD Ryzen™ 5 7535HS,16 GB,NVIDIA GeForce RTX 3050,"Matowy, LED",
Acer Nitro V R5‑7535HS/16GB/1TB/Win11PX RTX3050 144Hz,"3 799,00 zł",xkom,AMD Ryzen™ 5 7535HS,16 GB,NVIDIA GeForce RTX 3050,"Matowy, LED",
Acer Nitro V R5‑7535HS/32GB/512+1TB/Win11X RTX3050 144Hz,"4 099,00 zł",xkom,AMD Ryzen™ 5 7535HS,32 GB,NVIDIA GeForce RTX 3050,"Matowy, LED",
Acer Nitro V R5‑7535HS/16GB/512+1TB/Win11X RTX3050 144Hz,"3 799,00 zł",xkom,AMD Ryzen™ 5 7535HS,16 GB,NVIDIA GeForce RTX 3050,"Matowy, LED",
Acer Nitro V R5‑7535HS/32GB/512/Win11PX RTX3050 144Hz,"3 949,00 zł",xkom,AMD Ryzen™ 5 7535HS,32 GB,NVIDIA GeForce RTX 3050,"Matowy, LED",
Lenovo ThinkPad X1 Carbon Ultra 5‑125U/16GB/512/Win11P,"9 999,00 zł",xkom,Intel® Core™ Ultra 5 125U,16 GB,Intel® Graphics,"Matowy, LED, IPS",
Lenovo Legion Slim 5‑16 Ryzen 5‑7640HS/16GB/512/Win11 RTX4050 144Hz,"4 499,00 zł",xkom,AMD Ryzen™ 5 7640HS,16 GB,NVIDIA GeForce RTX 4050,"Matowy, LED, IPS",
Dell Inspiron 14 Plus 7441 X Plus X1P‑64‑100/16GB/1TB/Win11P AI,"6 690,00 zł",xkom,Qualcomm Snapdragon X Plus,16 GB,Qualcomm® Adreno™,"Matowy, LED, WVA",
Dell Inspiron 14 Plus 7441 X Plus X1P‑64‑100/16GB/512/Win11 AI,"5 999,00 zł",xkom,Qualcomm Snapdragon X Plus,16 GB,Qualcomm® Adreno™,"Matowy, LED, WVA",
HP Envy 15 x360 i5‑1335U/16GB/512/Win11,"4 299,00 zł",xkom,Intel® Core™ i5-1335U,16 GB,Intel Iris Xe Graphics,"Błyszczący, OLED",
Dell Alienware x16 R2 Ultra 9 185H/32GB/2TB/Win11 RTX4090,"23 999,00 zł",xkom,Intel® Core™ Ultra 9 185H,32 GB,NVIDIA GeForce RTX 4090,,2000 GB SSD M.2 PCIe
Dell Alienware x16 R2 Ultra 9 185H/32GB/1TB/Win11 RTX4080,"20 499,00 zł",xkom,Intel® Core™ Ultra 9 185H,32 GB,NVIDIA GeForce RTX 4080,,1000 GB SSD M.2 PCIe
Dell XPS 13 9345 X Elite X1E‑80‑100/16GB/512/Win11P AI,"8 999,00 zł",xkom,Qualcomm Snapdragon X Elite,16 GB,Qualcomm® Adreno™,"Matowy, LED, WVA",
Dell Latitude 5550 Ultra 7 165U/16GB/512+1TB/Win11P,"7 199,00 zł",xkom,Intel® Core™ Ultra 7 165U,16 GB,Intel® Graphics,"Matowy, LED, IPS",
HP Omen 16 i7‑14700HX/16GB/1TB/Win11 RTX4060 165Hz,"8 399,00 zł",xkom,Intel® Core™ i7-14700HX,16 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
HP Victus 16 i5‑14450HX/32GB/1TB/Win11 RTX4060 144Hz,"6 149,00 zł",xkom,Intel® Core™ i5-14450HX,32 GB,NVIDIA GeForce RTX 4060 + Intel UHD Graphics,"Matowy, LED, IPS",
HP Victus 16 i5‑14450HX/16GB/1TB/Win11 RTX4060 144Hz,"5 649,00 zł",xkom,Intel® Core™ i5-14450HX,16 GB,NVIDIA GeForce RTX 4060 + Intel UHD Graphics,"Matowy, LED, IPS",
HP Victus 16 i5‑14450HX/32GB/512/Win11 RTX4060 144Hz,"5 899,00 zł",xkom,Intel® Core™ i5-14450HX,32 GB,NVIDIA GeForce RTX 4060 + Intel UHD Graphics,"Matowy, LED, IPS",
Dell Precision 3590 Ultra 7 155H/64GB/2TB/Win11P RTX500,"13 999,00 zł",xkom,Intel® Core™ Ultra 7 155H,64 GB,NVIDIA RTX 500 Ada + Intel Arc™ Graphics,"Matowy, LED",
Dell Precision 3591 Ultra 9 185H/32GB/1TB/Win11P RTX2000,"13 999,00 zł",xkom,Intel® Core™ Ultra 9 185H,32 GB,NVIDIA RTX 2000 Ada,"Matowy, LED, IPS",
Dell Alienware m16 R2 Core Ultra 9 185H/64GB/4TB/Win11 RTX4070,"16 999,00 zł",xkom,Intel® Core™ Ultra 9 185H,64 GB,NVIDIA GeForce RTX 4070,"Matowy, LED, WVA",
Dell Alienware m16 R2 Core Ultra 9 185H/64GB/2TB/Win11 RTX4070,"15 999,00 zł",xkom,Intel® Core™ Ultra 9 185H,64 GB,NVIDIA GeForce RTX 4070,"Matowy, LED, WVA",
Dell Alienware m16 R2 Core Ultra 9 185H/32GB/2TB/Win11 RTX4070,"14 999,00 zł",xkom,Intel® Core™ Ultra 9 185H,32 GB,NVIDIA GeForce RTX 4070,"Matowy, LED, WVA",
Dell Inspiron 5440 Intel 7 150U/16GB/1TB/Win11P,"4 999,00 zł",xkom,Intel® Core™ 7 150U,16 GB,Intel® Graphics,"Matowy, LED, WVA",
HP Pavilion 15 i5‑1335U/16GB/1TB/Win11,"3 149,00 zł",xkom,Intel® Core™ i5-1335U,16 GB,Intel Iris Xe Graphics,"Matowy, LED, IPS",
HP Pavilion 15 Ryzen 7‑7730U/16GB/1TB/Win11x Silver,"2 749,00 zł",xkom,AMD Ryzen™ 7 7730U,16 GB,AMD Radeon™ Graphics,"Matowy, LED, IPS",
HP 15 i5‑1334U/8GB/1TB/Win11,"2 549,00 zł",xkom,Intel® Core™ i5-1334U,8 GB,Intel Iris Xe Graphics,"Matowy, LED, IPS",
Dell XPS 14 9440 Ultra 7 155H/64GB/4TB/Win11P RTX4050 OLED,"18 999,00 zł",xkom,Intel® Core™ Ultra 7 155H,64 GB,NVIDIA GeForce RTX 4050,"Błyszczący, OLED",
