Tytuł,Cena,Sklep,Procesor,RAM,Dysk SSD,Karta graficzna:,Ekran,System operacyjny,Dysk HDD:,Firma procesora
"Laptop DELL XPS 9640-7586 16.3"" OLED Ultra 7-155H 64GB RAM 4TB SSD GeForce RTX4070 DLSS 3 Windows 11 Professional",18999.0,MediaExpert,Intel Core Ultra 7-155H,64,4000,NVIDIA GeForce RTX 4070 + Intel Arc Graphics,16.3,Windows 11 Professional,,Intel
"Laptop DELL Inspiron 5645-7364 16"" R5-8540U 8GB RAM 512GB SSD Windows 11 Home",3399.0,MediaExpert,AMD Ryzen 5 8540U,8,512,AMD Radeon 740M,16,Windows 11 Home,,AMD
"Laptop DELL XPS 9640-7548 16.3"" Ultra 7-155H 16GB RAM 1TB SSD GeForce RTX4050 DLSS 3 Windows 11 Professional",11899.0,MediaExpert,Intel Core Ultra 7-155H,16,1000,NVIDIA GeForce RTX 4050 + Intel Arc Graphics,16.3,Windows 11 Professional,,Intel
"Laptop DELL Inspiron 14 2in1 7440-7470 14"" IPS Core 5 120U 8GB RAM 512GB SSD Windows 11 Professional",3749.0,MediaExpert,Intel Core 5 120U,8,512,Intel Graphics,14,Windows 11 Professional,,Intel
"Laptop DELL G15 5535-0245 15.6"" 165Hz R7-7840HS 16GB RAM 512GB SSD GeForce RTX4060 DLSS 3 Windows 11 Home",6299.0,MediaExpert,AMD Ryzen 7 7840HS,16,512,NVIDIA GeForce RTX 4060 + AMD Radeon 780M,15.6,Windows 11 Home,,AMD
"Laptop DELL XPS 9440-7708 14.5"" IPS Ultra 7-155H 16GB RAM 1TB SSD GeForce RTX4050 DLSS 3 Windows 11 Professional",13699.99,MediaExpert,Intel Core Ultra 7-155H,16,1000,NVIDIA GeForce RTX 4050 + Intel Arc Graphics,14.5,Windows 11 Professional,,Intel
"Laptop DELL XPS 9340-7678 13.4"" Ultra 7-155H 64GB RAM 1TB SSD Windows 11 Professional",12399.0,MediaExpert,Intel Core Ultra 7-155H,64,1000,Intel Arc Graphics,13.4,Windows 11 Professional,,Intel
"Laptop DELL G16 7630-2973 16"" 240Hz i9-13900HX 16GB RAM 1TB SSD GeForce RTX4070 DLSS 3 Windows 11 Home",9499.99,MediaExpert,Intel Core i9-13900HX,16,1000,NVIDIA GeForce RTX 4070 + Intel UHD Graphics,16,Windows 11 Home,,Intel
"Laptop DELL G15 5535-0221 15.6"" 165Hz R7-7840HS 16GB RAM 512GB SSD GeForce RTX4050 DLSS 3 Windows 11 Home",5848.0,MediaExpert,AMD Ryzen 7 7840HS,16,512,NVIDIA GeForce RTX 4050 + AMD Radeon 780M,15.6,Windows 11 Home,,AMD
"Laptop DELL G15 5530-4958 15.6"" 165Hz i9-13900HX 32GB RAM 1TB SSD GeForce RTX4060 DLSS 3 Linux",7899.98,MediaExpert,Intel Core i9-13900HX,32,1000,NVIDIA GeForce RTX 4060 + Intel UHD Graphics,15.6,Linux,,Intel
"Laptop DELL G15 5530-4941 15.6"" 165Hz i7-13650HX 16GB RAM 1TB SSD GeForce RTX4060 DLSS 3 Linux",6199.0,MediaExpert,Intel Core i7-13650HX,16,1000,NVIDIA GeForce RTX 4060 + Intel UHD Graphics,15.6,Linux,,Intel
"Laptop DELL G15 5530-2253 15.6"" 165Hz i7-13650HX 16GB RAM 512GB SSD GeForce RTX4050 DLSS 3 Linux",5698.0,MediaExpert,Intel Core i7-13650HX,16,512,NVIDIA GeForce RTX 4050 + Intel UHD Graphics,15.6,Linux,,Intel
"Laptop DELL G15 5530-2246 15.6"" 165Hz i5-13450HX 16GB RAM 512GB SSD GeForce RTX4050 DLSS 3 Linux",4999.0,MediaExpert,Intel Core i5-13450HX,16,512,NVIDIA GeForce RTX 4050 + Intel UHD Graphics,15.6,Linux,,Intel
"Laptop DELL Inspiron 3520-2031 15.6"" IPS i5-1235U 8GB RAM 1TB SSD Windows 11 Home",2399.0,MediaExpert,Intel Core i5-1235U,8,1000,Intel Iris Xe Graphics,15.6,Windows 11 Home,,Intel
"Laptop DELL Inspiron 3520-2017 15.6"" i3-1215U 8GB RAM 512GB SSD Windows 11 Home",1949.0,MediaExpert,Intel Core i3-1215U,8,512,Intel UHD Graphics,15.6,Windows 11 Home,,Intel
"Laptop DELL G15 5530-5153 15.6"" i5-13450HX 16GB RAM 512GB SSD GeForce RTX3050 Linux",3999.0,MediaExpert,Intel Core i5-13450HX,16,512,NVIDIA GeForce RTX 3050 + Intel UHD Graphics,15.6,Linux,,Intel
"Laptop DELL Inspiron 5445-2819 14"" R5-8540U 16GB RAM 1TB SSD Windows 11 Home",3999.0,MediaExpert,AMD Ryzen 5 8540U,16,1000,AMD Radeon 740M,14,Windows 11 Home,,AMD
"Laptop DELL Inspiron 7440-7401 14"" Core 5 120U 8GB RAM 512GB SSD Windows 11 Home",3499.0,MediaExpert,Intel Core 5 120U,8,512,Intel Graphics,14,Windows 11 Home,,Intel
"Laptop DELL Inspiron 5445 14"" R5-8540U 8GB RAM 512GB SSD Windows 11 Home",3077.2,MediaExpert,AMD Ryzen 5 8540U,8,512,AMD Radeon 740M,14,Windows 11 Home,,AMD
"Laptop ASUS ExpertBook B3604CVA-Q90238X 16"" C5-120U 16GB RAM 512GB SSD Windows 11 Professional",4229.99,MediaExpert,Intel Core 5 120U,16,512,Intel Graphics,16,Windows 11 Professional,,Intel
"Laptop DREAMMACHINES GX5MRXG-15PL26 15.3"" Ultra 7-155H 32GB RAM 1TB SSD",4799.99,MediaExpert,Intel Core Ultra 7-155H,32,1000,Intel Arc Graphics,15.3,Brak,,Intel
"Laptop DREAMMACHINES RG4050-16PL36 16"" 144Hz i7-14700HX 32GB RAM 1TB SSD GeForce RTX4050 DLSS 3",5999.99,MediaExpert,Intel Core i7-14700HX,32,1000,NVIDIA GeForce RTX 4050 + Intel UHD Graphics,16,Brak,,Intel
"Laptop DREAMMACHINES GX5MRXG-15PL21 15.3"" Ultra 5-125H 32GB RAM 1TB SSD",4299.99,MediaExpert,Intel Core Ultra 5-125H,32,1000,Intel Arc Graphics,15.3,Brak,,Intel
"Laptop DREAMMACHINES RG4050-15PL41 15.6"" 144Hz i9-14900HX 32GB RAM 1TB SSD GeForce RTX4050 DLSS 3",6599.99,MediaExpert,Intel Core i9-14900HX,32,1000,NVIDIA GeForce RTX 4050 + Intel UHD Graphics,15.6,Brak,,Intel
"Laptop DREAMMACHINES RG4050-15PL40 15.6"" 144Hz i9-14900HX 16GB RAM 1TB SSD GeForce RTX4050 DLSS 3",6399.99,MediaExpert,Intel Core i9-14900HX,16,1000,NVIDIA GeForce RTX 4050 + Intel UHD Graphics,15.6,Brak,,Intel
"Laptop DREAMMACHINES V560TU-16PL26 16"" 165Hz Ultra 7-155H 32GB RAM 1TB SSD",4999.99,MediaExpert,Intel Core Ultra 7-155H,32,1000,Intel Arc Graphics,16,Brak,,Intel
"Laptop ASUS ExpertBook B9403CVAR-KM0897X 14"" OLED Core 5 120U 16GB RAM 1TB SSD Windows 11 Professional",6999.0,MediaExpert,Intel Core 5 120U,16,1000,Intel Graphics,14,Windows 11 Professional,,Intel
"Laptop LENOVO Yoga Book 9 13IMU9 13.3"" OLED Ultra 7-155U 32GB RAM 512GB SSD Windows 11 Home",11704.82,MediaExpert,Intel Core Ultra 7-155U,32,512,Intel Graphics,13.3,Windows 11 Home,,Intel
"Laptop PREDATOR Triton Neo 16 PTN16-51-77J2 16"" IPS 165Hz Ultra 7-155H 16GB RAM 1TB SSD GeForce RTX4070 DLSS 3 Windows 11 Home",7999.0,MediaExpert,Intel Core Ultra 7-155H,16,1000,NVIDIA GeForce RTX 4070 + Intel UHD Graphics,16,Windows 11 Home,,Intel
"Laptop PREDATOR Triton Neo 16 PTN16-51-796N 16"" IPS 240Hz Ultra 7-155H 16GB RAM 1TB SSD GeForce RTX4060 DLSS 3 Windows 11 Home",6499.0,MediaExpert,Intel Core Ultra 7-155H,16,1000,NVIDIA GeForce RTX 4060 + Intel UHD Graphics,16,Windows 11 Home,,Intel
"Laptop DELL XPS 9440-7739 14.5"" OLED Ultra 7-155H 64GB RAM 2TB SSD GeForce RTX4050 DLSS 3 Windows 11 Professional",15540.0,MediaExpert,Intel Core Ultra 7-155H,64,2000,NVIDIA GeForce RTX 4050 + Intel Arc Graphics,14.5,Windows 11 Professional,,Intel
"Laptop DELL XPS 9440-7722 14.5"" OLED Ultra 7-155H 64GB RAM 1TB SSD GeForce RTX4050 DLSS 3 Windows 11 Professional",13999.0,MediaExpert,Intel Core Ultra 7-155H,64,1000,NVIDIA GeForce RTX 4050 + Intel Arc Graphics,14.5,Windows 11 Professional,,Intel
"Laptop DELL XPS 9440-7715 14.5"" OLED Ultra 7-155H 32GB RAM 1TB SSD GeForce RTX4050 DLSS 3 Windows 11 Professional",14999.0,MediaExpert,Intel Core Ultra 7-155H,32,1000,NVIDIA GeForce RTX 4050 + Intel Arc Graphics,14.5,Windows 11 Professional,,Intel
"Laptop MSI Modern 15 H C13M-201PL 15.6"" IPS i7-13620H 16GB RAM 512GB SSD Windows 11 Home",3599.0,MediaExpert,Intel Core i7-13620H,16,512,Intel UHD Graphics,15.6,Windows 11 Home,,Intel
Laptop DREAMMACHINES RG4070-17PL20 17.3” 144Hz I7-13620H 16GB RAM 1TB SSD GeForce RTX4070 DLSS 3,6499.99,MediaExpert,Intel Core i7-13620H,16,1000,NVIDIA GeForce RTX 4070 + Intel UHD Graphics,17.3,Brak,,Intel
"Laptop DREAMMACHINES RG4060-15PL37 15.6"" 144Hz i7-13620H 16GB RAM 1TB SSD GeForce RTX4060 DLSS 3",4999.99,MediaExpert,Intel Core i7-13620H,16,1000,NVIDIA GeForce RTX 4060 + Intel UHD Graphics,15.6,Brak,,Intel
"Laptop DREAMMACHINES RG4050-15PL30 15.6"" 144Hz i5-13420H 16GB RAM 1TB SSD GeForce RTX4050 DLSS 3",4099.99,MediaExpert,Intel Core i5-13420H,16,1000,NVIDIA GeForce RTX 4050 + Intel UHD Graphics,15.6,Brak,,Intel
"Laptop MSI Cyborg A13VF-023XPL 14"" IPS 144Hz i7-13620H 16GB RAM 512GB SSD GeForce RTX4060 DLSS 3",5899.0,MediaExpert,Intel Core i7-13620H,16,512,NVIDIA GeForce RTX 4060 + Intel UHD Graphics,14,Brak,,Intel
"Laptop ASUS ZenBook 14X UM5401RA-KP126W 14"" IPS R7-6800H 16GB RAM 1TB SSD Windows 11 Home",4899.0,MediaExpert,AMD Ryzen 7 6800H,16,1000,AMD Radeon 680M,14,Windows 11 Home,,AMD
"Laptop DELL XPS 9440-2352 14.5"" OLED Ultra 7-155H 32GB RAM 1TB SSD GeForce RTX4050 DLSS 3 Windows 11 Professional",14999.0,MediaExpert,Intel Core Ultra 7-155H,32,1000,NVIDIA GeForce RTX 4050 + Intel Arc Graphics,14.5,Windows 11 Professional,,Intel
"Laptop DELL XPS 9440-2345 14.5"" IPS Ultra 7-155H 16GB RAM 1TB SSD GeForce RTX4050 DLSS 3 Windows 11 Professional",11906.27,MediaExpert,Intel Core Ultra 7-155H,16,1000,NVIDIA GeForce RTX 4050 + Intel Arc Graphics,14.5,Windows 11 Professional,,Intel
"Laptop DELL XPS 9640-2277 16.3"" Ultra 7-155H 32GB RAM 1TB SSD GeForce RTX4060 DLSS 3 Windows 11 Professional",16499.0,MediaExpert,Intel Core Ultra 7-155H,32,1000,NVIDIA GeForce RTX 4060 + Intel Arc Graphics,16.3,Windows 11 Professional,,Intel
"Laptop RAZER Blade 16 S10-NT 16"" OLED 240Hz i9-14900HX 32GB RAM 1TB SSD GeForce RTX4080 DLSS 3 Windows 11 Home",18199.0,MediaExpert,Intel Core i9-14900HX,32,1000,NVIDIA GeForce RTX 4080 + Intel UHD Graphics,16,Windows 11 Home,,Intel
"Laptop RAZER Blade 16 S10-NT 16"" i9-14900HX 32GB RAM 2TB SSD GeForce RTX4080 Windows 11 Home",18999.0,MediaExpert,Intel Core i9-14900HX,32,2000,NVIDIA GeForce RTX 4080 + Intel UHD Graphics,16,Windows 11 Home,,Intel
"Laptop RAZER Blade 16 S10-NT 16"" OLED 240Hz i9-14900HX 16GB RAM 1TB SSD GeForce RTX4070 Windows 11 Home",13098.0,MediaExpert,Intel Core i9-14900HX,16,1000,NVIDIA GeForce RTX 4070 + Intel UHD Graphics,16,Windows 11 Home,,Intel
"Laptop RAZER Blade 16 S10-NT 16"" i9-14900HX 16GB RAM 2TB SSD GeForce RTX4070 DLSS 3 Windows 11 Home",16899.0,MediaExpert,Intel Core i9-14900HX,16,2000,NVIDIA GeForce RTX 4070 + Intel UHD Graphics,16,Windows 11 Home,,Intel
"Laptop RAZER Blade 14 P9-NT 14"" IPS 240Hz R9-7940HS 16GB RAM 1TB SSD GeForce RTX4070 DLSS 3 Windows 11 Home",14399.99,MediaExpert,AMD Ryzen 9 7940HS,16,1000,NVIDIA GeForce RTX 4070 + AMD Radeon 780M,14,Windows 11 Home,,AMD
"Laptop ASUS ROG Strix G17 G713PI-LL047 17.3"" IPS 240Hz R9-7845HX 16GB RAM 1TB SSD GeForce RTX4070 DLSS 3",9198.0,MediaExpert,AMD Ryzen 9 7845HX,16,1000,NVIDIA GeForce RTX 4070 + AMD Radeon 610M,17.3,Brak,,AMD
"Laptop GIGABYTE Aorus 16X 9KG-43EEC54SH 16"" 165Hz i7-13650HX 16GB RAM 1TB SSD GeForce RTX4060 DLSS 3 Windows 11 Home",5699.0,MediaExpert,Intel Core i7-13650HX,16,1000,NVIDIA GeForce RTX 4060 + Intel UHD Graphics,16,Windows 11 Home,,Intel
"Laptop ASUS ROG Zephyrus G16 GU605MI-QR044W 16"" OLED 240Hz Ultra 9-185H 32GB RAM 1TB SSD GeForce RTX4070 DLSS 3 Windows 11 Home",13115.12,MediaExpert,Intel Core Ultra 9-185H,32,1000,NVIDIA GeForce RTX 4070 + Intel Arc Graphics,16,Windows 11 Home,,Intel
"Laptop LENOVO Legion Slim 5 14APH8 14.5"" OLED R5-7640HS 16GB RAM 512GB SSD GeForce RTX3050 Windows 11 Home",4499.0,MediaExpert,AMD Ryzen 5 7640HS,16,512,NVIDIA GeForce RTX 3050 + AMD Radeon 760M,14.5,Windows 11 Home,,AMD
"Laptop APPLE MacBook Air 2023 15.3"" Retina M2 8GB RAM 512GB SSD macOS Księżycowa poświata",8499.99,MediaExpert,Apple M2,8,512,Apple M2 (10 rdzeni),15.3,macOS Sonoma,,Apple
"Laptop APPLE MacBook Air 2023 15.3"" Retina M2 8GB RAM 512GB SSD macOS Północ",8499.99,MediaExpert,Apple M2,8,512,Apple M2 (10 rdzeni),15.3,macOS Sonoma,,Apple
"Laptop APPLE MacBook Air 2023 15.3"" Retina M2 8GB RAM 512GB SSD macOS Srebrny",8499.99,MediaExpert,Apple M2,8,512,Apple M2 (10 rdzeni),15.3,macOS Sonoma,,Apple
"Laptop APPLE MacBook Pro 2023 14"" Retina M3 8GB RAM 2TB SSD macOS Gwiezdna szarość",12599.99,MediaExpert,Apple M3,8,2000,Apple M3 (10 rdzeni),14.2,macOS Sonoma,,Apple
"Laptop APPLE MacBook Pro 2023 14"" Retina M3 8GB RAM 2TB SSD macOS Srebrny",12599.99,MediaExpert,Apple M3,8,2000,Apple M3 (10 rdzeni),14.2,macOS Sonoma,,Apple
"Laptop ASUS VivoBook 15 X1504ZA-BQ430 15.6"" IPS i5-1235U 8GB RAM 512GB SSD",2199.98,MediaExpert,Intel Core i5-1235U,8,512,Intel UHD Graphics,15.6,Brak,,Intel
"Laptop MSI Prestige 16 AI Studio B1VFG-017PL 16"" IPS Ultra 7-155H 32GB RAM 1TB SSD GeForce RTX4060 DLSS 3 Windows 11 Home",7899.0,MediaExpert,Intel Core Ultra 7-155H,32,1000,NVIDIA GeForce RTX 4060 + Intel Arc Graphics,16,Windows 11 Home,,Intel
"Laptop DELL Inspiron 3520-0467 15.6"" IPS i3-1215U 8GB RAM 256GB SSD Windows 11 Home",1679.0,MediaExpert,Intel Core i3-1215U,8,256,Intel UHD Graphics,15.6,Windows 11 Home,,Intel
"Laptop DELL Inspiron 14 5430-3352 14"" i5-1340P 16GB RAM 512GB SSD Windows 11 Home",4899.99,MediaExpert,Intel Core i5-1340P,16,512,Intel Iris Xe Graphics,14,Windows 11 Home,,Intel
"Laptop DELL XPS 9530-0738 15.6"" i7-13700H 16GB RAM 512GB SSD Arc A370M Windows 11 Home",10499.99,MediaExpert,Intel Core i7-13700H,16,512,Intel Arc A370M + Intel Iris Xe Graphics,15.6,Windows 11 Professional,,Intel
"Laptop APPLE MacBook Pro 2023 14"" Retina M3 8GB RAM 512GB SSD macOS Gwiezdna szarość",8799.99,MediaExpert,Apple M3,8,512,Apple M3 (10 rdzeni),14.2,macOS Sonoma,,Apple
"Laptop APPLE MacBook Pro 2023 16"" Retina M3 Pro 36GB RAM 512GB SSD macOS Gwiezdna czerń",16299.99,MediaExpert,Apple M3 Pro,36,512,Apple M3 Pro (18 rdzeni),16.2,macOS Sonoma,,Apple
"Laptop RAZER Blade 18 K9-NT 18"" IPS 240Hz i9-13950HX 32GB RAM 1TB SSD GeForce RTX4080 DLSS 3 Windows 11 Home",20239.99,MediaExpert,Intel Core i9-13950HX,32,1000,NVIDIA GeForce RTX 4080 + Intel UHD Graphics,18,Windows 11 Home,,Intel
"Laptop RAZER Blade 16"" 240Hz i9-13950HX 32GB RAM 1TB SSD GeForce RTX4070 DLSS 3 Windows 11 Home",17479.99,MediaExpert,Intel Core i9-13950HX,32,1000,NVIDIA GeForce RTX 4070 + Intel UHD Graphics,16,Windows 11 Home,,Intel
"Laptop RAZER Blade 15 CH9-NT 15.6"" IPS 240Hz i7-13800H 16GB RAM 1TB SSD GeForce RTX4070 DLSS 3 Windows 11 Home",13247.1,MediaExpert,Intel Core i7-13800H,16,1000,NVIDIA GeForce RTX 4070 + Intel Iris Xe Graphics,15.6,Windows 11 Home,,Intel
"Laptop RAZER Blade 15 CH9-NT 15.6"" IPS 240Hz i7-13800H 16GB RAM 1TB SSD GeForce RTX4060 DLSS 3 Windows 11 Home",12099.0,MediaExpert,Intel Core i7-13800H,16,1000,NVIDIA GeForce RTX 4060 + Intel Iris Xe Graphics,15.6,Windows 11 Home,,Intel
"Laptop LENOVO Legion 5 15ACH6H 15.6"" IPS 165Hz R5-5600H 16GB RAM 1TB SSD GeForce RTX3070 Windows 11 Home",4626.0,MediaExpert,AMD Ryzen 5 5600H,16,1000,NVIDIA GeForce RTX 3070 + AMD Radeon Graphics,15.6,Windows 11 Home,,AMD
"Laptop APPLE MacBook Pro 2023 16"" Retina M3 Max 48GB RAM 1TB SSD macOS Gwiezdna czerń",20999.0,MediaExpert,Apple M3 Max,48,1000,Apple M3 Max (40 rdzeni),16.2,macOS Sonoma,,Apple
"Laptop APPLE MacBook Pro 2023 14"" Retina M3 Max 36GB RAM 1TB SSD macOS Srebrny",15799.0,MediaExpert,Apple M3 Max,36,1000,Apple M3 Max (30 rdzeni),14.2,macOS Sonoma,,Apple
"Laptop APPLE MacBook Pro 2023 14"" Retina M3 Max 36GB RAM 1TB SSD macOS Gwiezdna Czerń",15999.0,MediaExpert,Apple M3 Max,36,1000,Apple M3 Max (30 rdzeni),14.2,macOS Sonoma,,Apple
"Laptop MSI Vector GP68HX 13VH-273PL 16"" IPS 240Hz i7-13700HX 16GB RAM 1TB SSD GeForce RTX4080 DLSS 3 Windows 11 Home",10225.54,MediaExpert,Intel Core i7-13700H,16,1000,NVIDIA GeForce RTX 4080 + Intel UHD Graphics,16,Windows 11 Home,,Intel
"Laptop APPLE MacBook Air 2023 15.3"" Retina M2 8GB RAM 512GB SSD macOS Gwiezdna szarość",8419.99,MediaExpert,Apple M2,8,512,Apple M2 (10 rdzeni),15.3,macOS Ventura,,Apple
"Laptop ASUS ExpertBook B1502CVA-BQ0110X 15.6"" i5-1335U 8GB RAM 512GB SSD Windows 11 Professional",2942.16,MediaExpert,Intel Core i5-1335U,8,512,Intel UHD Graphics,15.6,Windows 11 Professional,,Intel
"Laptop GIGABYTE Aorus 17X AZF-D5EE665SH 17.3"" 240Hz i9-13980HX 32GB RAM 2 x 1TB SSD GeForce RTX4090 DLSS 3 Windows 11 Professional",13999.99,MediaExpert,Intel Core i9-13980HX,32,,NVIDIA GeForce RTX 4090 + Intel UHD Graphics,17.3,Windows 11 Professional,,Intel
"Laptop ASUS ROG Flow X16 GV601VV-NL005W 16"" 240Hz i9-13900H 16GB RAM 1TB SSD GeForce RTX4060 DLSS 3 Windows 11 Home",7999.0,MediaExpert,Intel Core i9-13900H,16,1000,NVIDIA GeForce RTX 4060 + Intel Iris Xe Graphics,16,Windows 11 Home,,Intel
"Laptop ASUS TUF Gaming A15 FA507NU-LP031 15.6"" IPS 144Hz R7-7735HS 16GB RAM 512GB SSD GeForce RTX4050",4299.99,MediaExpert,AMD Ryzen 7 7735HS,16,512,NVIDIA GeForce RTX 4050 + AMD Radeon 680M,15.6,Brak,,AMD
"Laptop LENOVO LOQ 15IRH8 15.6"" IPS 144Hz i5-12450H 16GB RAM 512GB SSD GeForce RTX4050 DLSS 3",4199.98,MediaExpert,Intel Core i5-12450H,16,512,NVIDIA GeForce RTX 4050 + Intel UHD Graphics,15.6,Brak,,Intel
"Laptop LENOVO V15 G3 IAP 83C4S00400 15.6"" i3-1215U 8GB RAM 256GB SSD Windows 11 Professional",3999.99,MediaExpert,Intel Core i3-1215U,8,256,Intel UHD Graphics,15.6,Windows 11 Professional,,Intel
"Laptop DELL Latitude 3540 15.6"" i5-1345U 8GB RAM 256 SSD Windows 11 Professional",4149.0,MediaExpert,Intel Core i5-1345U,8,256,Intel Iris Xe Graphics,15.6,Windows 11 Professional,,Intel
"Laptop DELL Inspiron 3511-5837 15.6"" i5-1135G7 8GB RAM 256GB SSD Windows 11 Home",2399.0,MediaExpert,Intel Core i5-1135G7,8,256,Intel UHD Graphics 620,15.6,Windows 11 Home,,Intel
"Laptop LENOVO V15 G3 IAP 15.6"" i3-1215U 8GB RAM 256GB SSD Windows 11 Professional",2659.0,MediaExpert,Intel Core i3-1215U,8,256,Intel UHD Graphics,15.6,Windows 11 Professional,,Intel
"Laptop LENOVO Legion 5 15ARH7H 15.6"" IPS 165Hz R7-6800H 16GB SSD 512GB SSD GeForce RTX3060 Windows 11 Home",6568.0,MediaExpert,AMD Ryzen 7 6800H,16,512,NVIDIA GeForce RTX 3060 + AMD Radeon 680M,15.6,Windows 11 Home,,AMD
"Laptop LENOVO Legion Pro 5 16ARX8 16"" IPS 165Hz R7-7745HX 16GB RAM 512GB SSD GeForce RTX4060 DLSS 3",6299.98,MediaExpert,AMD Ryzen 7 7745HX,16,512,NVIDIA GeForce RTX 4060 + AMD Radeon 610M,16,Brak,,AMD
"Laptop LENOVO Legion S7 16IAH7 16"" IPS 165Hz i5-12500H 16GB RAM 512GB SSD GeForce RTX3060 Windows 11 Home",6499.0,MediaExpert,Intel Core i5-12500H,16,512,NVIDIA GeForce RTX 3060 + Intel Iris Xe Graphics,16,Windows 11 Home,,Intel
"Laptop LENOVO Legion Slim 5 16APH8 16"" IPS 144Hz R5-7640HS 16GB RAM 512GB SSD GeForce RTX4050 DLSS 3",4799.98,MediaExpert,AMD Ryzen 5 7640HS,16,512,NVIDIA GeForce RTX 4050 + AMD Radeon 760M,16,Brak,,AMD
"Laptop ACER Nitro AN16-41-R0U8 16"" IPS 165Hz R5-7535HS 16GB RAM 1TB SSD GeForce RTX4050 DLSS 3 Windows 11 Home",7199.99,MediaExpert,AMD Ryzen 5 7535HS,16,1000,NVIDIA GeForce RTX 4050 + AMD Radeon 660M,16,Windows 11 Home,,AMD
"Laptop APPLE MacBook Air 2023 15.3"" Retina M2 8GB RAM 512GB SSD macOS Srebrny",7490.0,MediaExpert,Apple M2,8,512,Apple M2 (10 rdzeni),15.3,macOS Ventura,,Apple
"Laptop LENOVO V15 G4 IRU 15.6"" i3-1315U 8GB RAM 256GB SSD Windows 11 Professional",2749.98,MediaExpert,Intel Core i3-1315U,8,256,Intel UHD Graphics,15.6,Windows 11 Home,,Intel
"Laptop ASUS ROG Zephyrus G14 GA402XY-N2007W 14"" IPS 165Hz R9-7940HS 32GB RAM 1TB SSD GeForce RTX4090 DLSS 3 Windows 11 Home",12899.0,MediaExpert,AMD Ryzen 9 7940HS,32,1000,NVIDIA GeForce RTX 4090 + AMD Radeon 780M,14,Windows 11 Home,,AMD
"Laptop DREAMMACHINES RT3050-15PL30 15.6"" 144Hz R5-7535HS 16GB RAM 500GB SSD GeForce RTX3050",4039.0,MediaExpert,AMD Ryzen 5 7535HS,16,500,NVIDIA GeForce RTX 3050 + AMD Radeon 660M,15.6,Brak,,AMD
"Laptop LENOVO Yoga 9 14ITL5 14"" IPS i7-1185G7 16GB RAM 1TB SSD Windows 11 Home",6199.0,MediaExpert,Intel Core i7-1185G7,16,1000,Intel Iris Xe Graphics,14,Windows 11 Home,,Intel
"Laptop DELL Alienware M18 R1 18R1-8423 18"" 480Hz i9-13900HX 16GB RAM 2TB SSD GeForce RTX4080 DLSS 3 Windows 11 Home",22499.99,MediaExpert,Intel Core i9-13900HX,16,2000,NVIDIA GeForce RTX 4080 + Intel UHD Graphics,18,Windows 11 Home,,Intel
"Laptop PREDATOR Helios Neo PHN16-71-71XF 16"" IPS 165Hz i7-13700HX 16GB RAM 1TB SSD GeForce RTX4070 DLSS 3 Windows 11 Home",10599.99,MediaExpert,Intel Core i7-13700HX,16,1000,NVIDIA GeForce RTX 4070 + Intel UHD Graphics,16,Windows 11 Home,,Intel
"Laptop DREAMMACHINES RG4050-15PL26 15.6"" 144Hz i7-13700H 16GB RAM 1TB SSD GeForce RTX4050 DLSS 3",5999.99,MediaExpert,Intel Core i7-13700H,16,1000,NVIDIA GeForce RTX 4050 + Intel Iris Xe Graphics,15.6,Brak,,Intel
"Laptop ACER Nitro 5 AN517-55-7029 17.3"" IPS 165Hz i7-12700H 16GB RAM 1TB SSD GeForce RTX4060 DLSS 3 Windows 11 Home",8799.99,MediaExpert,Intel Core i7-12700H,16,1000,NVIDIA GeForce RTX 4060 + Intel Iris Xe Graphics,17.3,Windows 11 Home,,Intel
"Laptop ASUS ZenBook UM3402YA-KM454W 14"" OLED R7-7730U 16GB RAM 1TB SSD Windows 11 Home",5699.98,MediaExpert,AMD Ryzen 7 7730U,16,1000,AMD Radeon Graphics,14,Windows 11 Home,,AMD
"Laptop DELL G15 5530-8577 15.6"" 165Hz i7-13650HX 16GB RAM 1TB SSD GeForce RTX4060 DLSS 3 Windows 11 Home",6774.0,MediaExpert,Intel Core i7-13650HX,16,1000,NVIDIA GeForce RTX 4060 + Intel UHD Graphics,15.6,Windows 11 Home,,Intel
"Laptop DELL G15 5530-8546 15.6"" 165Hz i5-13450HX 16GB RAM 512GB SSD GeForce RTX4050 DLSS 3 Windows 11 Home",5698.0,MediaExpert,Intel Core i5-13450HX,16,512,NVIDIA GeForce RTX 4050 + Intel UHD Graphics,15.6,Windows 11 Home,,Intel
"Laptop DELL G15 5530-8546 15.6"" 165Hz i5-13450HX 16GB RAM 512GB SSD GeForce RTX4050 DLSS 3 Windows 11 Home",5698.0,MediaExpert,Intel Core i5-13450HX,16,512,NVIDIA GeForce RTX 4050 + Intel UHD Graphics,15.6,Windows 11 Home,,Intel
"Laptop MSI Cyborg A12VE-016XPL 15.6"" IPS 144Hz i7-12650H 16GB RAM 512GB SSD GeForce RTX4050 DLSS 3",4699.0,MediaExpert,Intel Core i7-12650H,16,512,NVIDIA GeForce RTX 4050 + Intel UHD Graphics,15.6,Brak,,Intel
