Tytuł,Cena,Sklep,Procesor,RAM,Dysk SSD,Karta graficzna:,Ekran,System operacyjny,Dysk HDD:,Firma procesora
"Laptop ASUS VivoBook 16X K3605ZF-RP516W 16"" IPS 144Hz i5-12500H 16GB RAM 512GB SSD GeForce RTX2050 Windows 11 Home",2999.99,MediaExpert,Intel Core i5-12500H,16,512,NVIDIA GeForce RTX 2050 + Intel UHD Graphics,16,Windows 11 Home,,Intel
"Laptop ASUS Vivobook A1504VA-BQ940W 15.6"" IPS i7-1355U 16GB RAM 512GB SSD Windows 11 Home",2999.99,MediaExpert,Intel Core i7-1355U,16,512,Intel Iris Xe Graphics,15.6,Windows 11 Home,,Intel
"Laptop APPLE MacBook Air 2024 15.3"" M3 16GB RAM 512GB SSD macOS Księżycowa poświata",6998.99,MediaExpert,Apple M3,16,512,Apple M3 (10 rdzeni),15.3,macOS Sonoma,,Apple
"Laptop HP 15S-FQ2350NW 15.6"" i3-1115G4 8GB RAM 256GB SSD Windows 11 Home",1699.99,MediaExpert,Intel Core i3-1115G4,8,256,Intel UHD Graphics,15.6,Windows 11 Home,,Intel
"Laptop DELL G15 5525-8328 15.6"" R5-6600H 16GB RAM 512GB SSD GeForce RTX3050 Windows 11 Home",3599.97,MediaExpert,AMD Ryzen 5 6600H,16,512,NVIDIA GeForce RTX 3050 + AMD Radeon 660M,15.6,Windows 11 Home,,AMD
"Laptop ACER Aspire 3 A315-24P-R7V1 15.6"" IPS R5-7520U 8GB RAM 512GB SSD Windows 11 Home",2799.99,MediaExpert,AMD Ryzen 5 7520U,8,512,AMD Radeon 610M,15.6,Windows 11 Home,,AMD
"Laptop APPLE MacBook Air 13.6"" Retina M2 8GB RAM 512GB SSD macOS Gwiezdna szarość",4499.99,MediaExpert,Apple M2,8,512,Apple M2 (10 rdzeni),13.6,macOS Monterey,,Apple
"Laptop APPLE MacBook Air 2024 13.6"" Retina M3 16GB RAM 256GB SSD macOS Srebrny",5149.0,MediaExpert,Apple M3,16,256,Apple M3 (8 rdzeni),13.6,macOS Sequoia,,Apple
"Laptop APPLE MacBook Pro 2024 16"" Retina M4 Pro 48GB RAM 512GB SSD macOS Gwiezdna czerń",14999.0,MediaExpert,Apple M4 Pro,48,512,Apple M4 Pro (20 rdzeni),16.2,macOS Sequoia,,Apple
"Laptop HP Pavilion 15-EG3304NW 15.6"" IPS i5-1335U 16GB RAM 512GB SSD Windows 11 Home",2499.0,MediaExpert,Intel Core i5-1335U,16,512,Intel Iris Xe Graphics,15.6,Windows 11 Home,,Intel
"Laptop HUAWEI MateBook 14 53014APK 14.2"" OLED Ultra 7-155H 16GB RAM 1TB SSD Windows 11 Home",4999.0,MediaExpert,Intel Core Ultra 7-155H,16,1000,Intel Arc Graphics,14.2,Windows 11 Home,,Intel
"Laptop ASUS ROG Strix G16 G614JV-N3134W 16"" IPS 165Hz i7-13650HX 16GB RAM 1TB SSD GeForce RTX4060 DLSS 3 Windows 11 Home",5799.0,MediaExpert,Intel Core i7-13650HX,16,1000,NVIDIA GeForce RTX 4060 + Intel UHD Graphics,16,Windows 11 Home,,Intel
"Laptop DELL Inspiron 3535-0672 15.6"" R5-7530U 8GB RAM 512GB SSD Windows 11 Home",2480.9,MediaExpert,AMD Ryzen 5 7530U,8,512,AMD Radeon Graphics,15.6,Windows 11 Home,,AMD
"Laptop APPLE MacBook Air 2024 13.6"" Retina M3 24GB RAM 512GB SSD macOS Północ",7499.0,MediaExpert,Apple M3,24,512,Apple M3 (10 rdzeni),13.6,macOS Sequoia,,Apple
"Laptop ASUS Vivobook 15 X1504VA-BQ041W 15.6"" IPS i3-1315U 16GB RAM 512GB SSD Windows 11 Home",2199.0,MediaExpert,Intel Core i3-1315U,16,512,Intel UHD Graphics,15.6,Windows 11 Home,,Intel
"Laptop ACER Chromebook Spin 513 CP513-2H-K59L 13.5"" IPS MT8195T 4GB RAM 128GB eMMC Chrome OS",2680.17,MediaExpert,MediaTek MT8195T,4,128,ARM Mali-G57 MC5,13.5,Chrome OS,,MediaTek
"Laptop APPLE MacBook Air 13.6"" Retina M2 8GB RAM 512GB SSD macOS Srebrny",4799.0,MediaExpert,Apple M2,8,512,Apple M2 (10 rdzeni),13.6,macOS Monterey,,Apple
"Laptop ASUS Zenbook S 14 UX5406SA-PV029W 14"" OLED Ultra 7-258V 32GB RAM 1TB SSD Windows 11 Home",7999.0,MediaExpert,Intel Core Ultra 7-258V,32,1000,Intel Arc Graphics 140V,14,Windows 11 Home,,Intel
