Tytuł,Cena,Sklep,Procesor,RAM,Grafika,Typ ekranu,Dysk,Dysk SSD,Dysk SSD,System operacyjny,Firma procesora
Acer Nitro 16 i7‑13620H/32GB/512/Win11PX RTX4050 165Hz,5549.0,xkom,Intel® Core™ i7-13620H,32,NVIDIA GeForce RTX 4050,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
Acer Nitro 16 i7‑13620H/32GB/512/Win11X RTX4050 165Hz,5399.0,xkom,Intel® Core™ i7-13620H,32,NVIDIA GeForce RTX 4050,"Matowy, LED, IPS",512,512,512,Windows 11 Home,Intel
Acer Nitro 16 i7‑13620H/32GB/512 RTX4050 165Hz,4899.0,xkom,Intel® Core™ i7-13620H,32,NVIDIA GeForce RTX 4050,"Matowy, LED, IPS",,,0,Brak,Intel
Lenovo ThinkPad L13 Ultra 5‑125U/16GB/512/Win11P,5599.0,xkom,Intel® Core™ Ultra 5 125U,16,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
Lenovo ThinkPad X1 2w1 Ultra 7‑155U/16GB/1TB/Win11P,15999.0,xkom,Intel® Core™ Ultra 7 155U,16,Intel® Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Professional,Intel
ASUS Vivobook S14 M5406UA R9‑8945HS/32GB/1TB/Win11 OLED 120Hz,5499.0,xkom,AMD Ryzen™ 9 8945HS,32,AMD Radeon™ Graphics,"Błyszczący, OLED",1TB,,1024,Windows 11 Home,AMD
Dell XPS 16 9640 Ultra 9 185H/32GB/1TB/Win11P RTX4070 OLED,19999.0,xkom,Intel® Core™ Ultra 9 185H,32,NVIDIA GeForce RTX 4070,"Błyszczący, OLED",1TB,,1024,Windows 11 Professional,Intel
Dell XPS 16 9640 Ultra 9 185H/32GB/1TB/Win11P RTX4060 OLED,17999.0,xkom,Intel® Core™ Ultra 9 185H,32,NVIDIA GeForce RTX 4060,"Błyszczący, OLED",1TB,,1024,Windows 11 Professional,Intel
ASUS ROG Strix G18 i9‑14900HX/16GB/1TB/Win11 RTX4080 240Hz,11799.0,xkom,Intel® Core™ i9-14900HX,16,NVIDIA GeForce RTX 4080 + Intel UHD Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,Intel
ASUS TUF Gaming F15 i7‑12700H/16GB/1TB/Win11X RTX4070 144Hz,6399.0,xkom,Intel® Core™ i7-12700H,16,NVIDIA GeForce RTX 4070 + Intel Iris Xe Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,Intel
ASUS ProArt Studiobook PZ13 X Plus X1P‑42‑100/16GB/1TB/W11P OLED,6999.0,xkom,Qualcomm Snapdragon X Plus,16,Qualcomm® Adreno™,"Błyszczący, OLED",1TB,,1024,Windows 11 Professional,Qualcomm
Acer Nitro V R7‑7735HS/16GB/1TB+1TB/Win11 RTX4060 144Hz,5299.0,xkom,AMD Ryzen™ 7 7735HS,16,NVIDIA GeForce RTX 4060,"Matowy, LED",1TB+1TB,,2048,Windows 11 Home,AMD
Acer Nitro 16 R7‑8845HS/32GB/512+1TB/Win11X RTX4060 165Hz,6299.0,xkom,AMD Ryzen™ 7 8845HS,32,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",512+1TB,,1536,Windows 11 Home,AMD
Acer Nitro 16 R7‑8845HS/16GB/512+1TB/Win11PX RTX4060 165Hz,5949.0,xkom,AMD Ryzen™ 7 8845HS,16,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",512+1TB,,1536,Windows 11 Professional,AMD
Acer Nitro 16 R7‑8845HS/16GB/512/Win11PX RTX4060 165Hz,5649.0,xkom,AMD Ryzen™ 7 8845HS,16,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,AMD
Acer Nitro 16 i5‑13420H/16GB/512+1TB/Win11PX RTX4050 165Hz,4949.0,xkom,Intel® Core™ i5-13420H,16,NVIDIA GeForce RTX 4050,"Matowy, LED, IPS",512+1TB,,1536,Windows 11 Professional,Intel
Acer Nitro 16 i5‑13420H/32GB/512/Win11PX RTX4050 165Hz,4949.0,xkom,Intel® Core™ i5-13420H,32,NVIDIA GeForce RTX 4050,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
Acer Nitro 16 R7‑8845HS/16GB/1TB+1TB/Win11X RTX4070 165Hz QHD,7299.0,xkom,AMD Ryzen™ 7 8845HS,16,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",1TB+1TB,,2048,Windows 11 Home,AMD
Lenovo ThinkPad T14 Ultra 7‑155U/16GB/1TB/Win11P,8599.0,xkom,Intel® Core™ Ultra 7 155U,16,Intel® Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Professional,Intel
Lenovo ThinkPad T14 Ultra 7‑155U/16GB/512/Win11P,6899.0,xkom,Intel® Core™ Ultra 7 155U,16,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
MSI Prestige 16Evo i7‑13700H/16GB/1TB/Win11,4499.0,xkom,Intel® Core™ i7-13700H,16,Intel Iris Xe Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,Intel
HP EliteBook 860 G11 Ultra 7‑155U/16GB/512/win11P SV 4G,7599.0,xkom,Intel® Core™ Ultra 7 155U,16,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
HP EliteBook 860 G11 Ultra 5‑125U/16GB/512/Win11P 5G,6699.0,xkom,Intel® Core™ Ultra 5 125U,16,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
HP EliteBook 860 G11 Ultra 5‑125U/16GB/512/Win11P 4G,6699.0,xkom,Intel® Core™ Ultra 5 125U,16,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
Lenovo LOQ‑15 i5‑12450HX/32GB/512/Win11 RTX4050 144Hz,4399.0,xkom,Intel® Core™ i5-12450HX,32,NVIDIA GeForce RTX 4050,"Matowy, LED, IPS",512,512,512,Windows 11 Home,Intel
Dell Inspiron 5440 i5‑1334U/16GB/1TB/Win11,3399.0,xkom,Intel® Core™ i5-1334U,16,Intel Iris Xe Graphics,"Matowy, LED, WVA",1TB,,1024,Windows 11 Home,Intel
Dell Precision 5690 Ultra 9 185H/64GB/2TB/Win11P RTX4000,26999.0,xkom,Intel® Core™ Ultra 9 185H,64,NVIDIA RTX 4000,"Matowy, LED",2TB,,2048,Windows 11 Professional,Intel
HP EliteBook 840 G11 Ultra 7‑155H/16GB/512/Win11P,7299.0,xkom,Intel® Core™ Ultra 7 155H,16,Intel Arc™ Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
HP EliteBook 840 G11 Ultra 7‑155U/16GB/512/Win11P,7099.0,xkom,Intel® Core™ Ultra 7 155U,16,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
HP EliteBook 840 G11 Ultra 5‑125U/16GB/512/Win11P 5G,6499.0,xkom,Intel® Core™ Ultra 5 125U,16,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
HP EliteBook 840 G11 Ultra 5‑125U/16GB/512/Win11P 4G,6499.0,xkom,Intel® Core™ Ultra 5 125U,16,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
HP EliteBook 840 G11 Ultra 5‑125H/16GB/512/Win11P,6299.0,xkom,Intel® Core™ Ultra 5 125H,16,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
HP EliteBook 840 G11 Ultra 5‑125U/16GB/512/Win11P,6199.0,xkom,Intel® Core™ Ultra 5 125U,16,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
HP EliteBook 830 G11 Ultra 7‑155U/16GB/512/Win11P SV,7499.0,xkom,Intel® Core™ Ultra 7 155U,16,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
Razer Blade 16 i9‑14900HX/32GB/1TB/Win11 RTX4080 240Hz,18199.0,xkom,Intel® Core™ i9-14900HX,32,NVIDIA GeForce RTX 4080,"Matowy, OLED",1TB,,1024,Windows 11 Home,Intel
Razer Blade 16 i9‑14900HX/32GB/2TB/Win11 RTX4080,18999.0,xkom,Intel® Core™ i9-14900HX,32,NVIDIA GeForce RTX 4080,"Matowy, mini-LED",2TB,,2048,Windows 11 Home,Intel
Razer Blade 16 i9‑14900HX/16GB/2TB/Win11 RTX4070,16899.0,xkom,Intel® Core™ i9-14900HX,16,NVIDIA GeForce RTX 4070,"Matowy, mini-LED",2TB,,2048,Windows 11 Home,Intel
ASUS Vivobook 16X i5‑12500H/16GB/1TB/Win11 RTX4050,4299.0,xkom,Intel® Core™ i5-12500H,16,NVIDIA GeForce RTX 4050 + Intel UHD Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,Intel
ASUS ROG Zephyrus G14 R9‑8945HS/16GB/1TB/W11PX RTX4060 OLED 120Hz,8999.0,xkom,AMD Ryzen™ 9 8945HS,16,NVIDIA GeForce RTX 4060,"Błyszczący, OLED",1TB,,1024,Windows 11 Professional,AMD
ASUS ROG Zephyrus G14 R9‑8945HS/16GB/1TB/W11X RTX4060 OLED 120Hz,8799.0,xkom,AMD Ryzen™ 9 8945HS,16,NVIDIA GeForce RTX 4060,"Błyszczący, OLED",1TB,,1024,Windows 11 Home,AMD
ASUS ROG Zephyrus G14 R9‑8945HS/16GB/1TB RTX4060 OLED 120Hz,8299.0,xkom,AMD Ryzen™ 9 8945HS,16,NVIDIA GeForce RTX 4060,"Błyszczący, OLED",,,0,Brak,AMD
ASUS ROG Zephyrus G14 R7‑8845HS/16GB/1TB/W11PX RTX4060 OLED 120Hz,8499.0,xkom,AMD Ryzen™ 7 8845HS,16,NVIDIA GeForce RTX 4060,"Błyszczący, OLED",1TB,,1024,Windows 11 Professional,AMD
ASUS ROG Zephyrus G14 R7‑8845HS/16GB/1TB/W11X RTX4060 OLED 120Hz,8299.0,xkom,AMD Ryzen™ 7 8845HS,16,NVIDIA GeForce RTX 4060,"Błyszczący, OLED",1TB,,1024,Windows 11 Home,AMD
Apple MacBook Air M2/16GB/1TB/Mac OS Srebrny,8199.0,xkom,Apple M2,16,Apple M2 [10 rdzeni],"Błyszczący, LED, IPS, Liquid Retina",1TB,,1024,macOS Sonoma,Apple
Apple MacBook Air M2/16GB/1TB/Mac OS Księżycowa poświata,8199.0,xkom,Apple M2,16,Apple M2 [10 rdzeni],"Błyszczący, LED, IPS, Liquid Retina",1TB,,1024,macOS Sonoma,Apple
Apple MacBook Air M2/16GB/1TB/Mac OS Północ,8199.0,xkom,Apple M2,16,Apple M2 [10 rdzeni],"Błyszczący, LED, IPS, Liquid Retina",1TB,,1024,macOS Sonoma,Apple
Acer Swift X Ultra 7 155H/32GB/1TB/Win11 RTX3050 OLED 120Hz,6699.0,xkom,Intel® Core™ Ultra 7 155H,32,NVIDIA GeForce RTX 3050,"Błyszczący, OLED",1TB,,1024,Windows 11 Home,Intel
HP EliteBook 845 G10 Ryzen 7 Pro‑7840U/16GB/512/Win11P,5999.0,xkom,AMD Ryzen™ 7 PRO 7840U,16,AMD Radeon™ Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,AMD
ASUS TUF Gaming A15 R7‑7435HS/32GB/1TB RTX3050 144Hz,3999.0,xkom,AMD Ryzen™ 7 7435HS,32,NVIDIA GeForce RTX 3050,"Matowy, LED, IPS",,,0,Brak,AMD
ASUS TUF Gaming A15 R7‑7435HS/16GB/1TB RTX3050 144Hz,3699.0,xkom,AMD Ryzen™ 7 7435HS,16,NVIDIA GeForce RTX 3050,"Matowy, LED, IPS",,,0,Brak,AMD
ASUS TUF Gaming A15 R7‑7435HS/32GB/512 RTX3050 144Hz,3699.0,xkom,AMD Ryzen™ 7 7435HS,32,NVIDIA GeForce RTX 3050,"Matowy, LED, IPS",,,0,Brak,AMD
ASUS TUF Gaming A15 R7‑7435HS/16GB/512 RTX3050 144Hz,3399.0,xkom,AMD Ryzen™ 7 7435HS,16,NVIDIA GeForce RTX 3050,"Matowy, LED, IPS",,,0,Brak,AMD
ASUS TUF Gaming A15 R7‑7435HS/16GB/512/Win11 RTX4060 144Hz,4999.0,xkom,AMD Ryzen™ 7 7435HS,16,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",512,512,512,Windows 11 Home,AMD
ASUS TUF Gaming A15 R7‑7435HS/16GB/1TB/Win11 RTX4050 144Hz,4599.0,xkom,AMD Ryzen™ 7 7435HS,16,NVIDIA GeForce RTX 4050,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,AMD
ASUS TUF Gaming A15 R7‑7435HS/32GB/1TB/Win11 RTX3050 144Hz,4399.0,xkom,AMD Ryzen™ 7 7435HS,32,NVIDIA GeForce RTX 3050,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,AMD
Acer Nitro V i5‑13420H/32GB/1TB+1TB/Win11 RTX2050 144Hz,3749.0,xkom,Intel® Core™ i5-13420H,16,NVIDIA GeForce RTX 2050,"Matowy, LED, IPS",1TB+1TB,,2048,Windows 11 Home,Intel
Acer Nitro V i5‑13420H/16GB/1TB+1TB/Win11 RTX2050 144Hz,3449.0,xkom,Intel® Core™ i5-13420H,16,NVIDIA GeForce RTX 2050,"Matowy, LED, IPS",1TB+1TB,,2048,Windows 11 Home,Intel
Acer Swift Go Ultra 5 125U/16GB/1TB/Win11,4049.0,xkom,Intel® Core™ Ultra 5 125U,16,Intel® Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,Intel
HP OmniBook X AI Elite X X1E‑78‑100/16GB/512/Win11,5399.0,xkom,Qualcomm Snapdragon X Elite,16,Qualcomm® Adreno™,"Błyszczący, LED, IPS",512,512,512,Windows 11 Home,Qualcomm
HP ZBook Power 16 G11 Ryzen 9 Pro‑8945HS/64GB/1TB/Win11P 120Hz,9699.0,xkom,AMD Ryzen™ 9 8945HS,64,AMD Radeon™ 780M,"Matowy, LED, IPS",1TB,,1024,Windows 11 Professional,AMD
HP ZBook Power 16 G11 Ryzen 7 Pro‑8845HS/32GB/1TB/Win11P 120Hz,7999.0,xkom,AMD Ryzen™ 7 8845HS,32,AMD Radeon™ 780M,"Matowy, LED, IPS",1TB,,1024,Windows 11 Professional,AMD
HP ZBook Power 16 G11 Ultra 5‑135H/16GB/1TB/Win11P RTX 1000,9299.0,xkom,Intel® Core™ Ultra 5 135H,16,NVIDIA RTX 1000 Ada,"Matowy, LED, IPS",1TB,,1024,Windows 11 Professional,Intel
HP ZBook Power 16 G11 Ultra 7‑155H/32GB/1TB/Win11P RTX 2000,10799.0,xkom,Intel® Core™ Ultra 7 155H,32,NVIDIA RTX 2000 Ada,"Matowy, LED, IPS",1TB,,1024,Windows 11 Professional,Intel
HP ZBook Power 16 G11 Ultra 9‑185H/64GB/1TB/W11P RTX 3000 120Hz,15199.0,xkom,Intel® Core™ Ultra 9 185H,64,NVIDIA RTX 3000 Ada,"Matowy, LED, IPS",1TB,,1024,Windows 11 Professional,Intel
HP ZBook Firefly 16 G11 Ultra 7‑165H/32GB/1TB/Win11P Touch,8999.0,xkom,Intel® Core™ Ultra 7 165H,32,NVIDIA RTX A500,"Matowy, LED, IPS",1TB,,1024,Windows 11 Professional,Intel
HP ZBook Firefly 16 G11 Ultra 7‑155H/32GB/1TB/Win11P RTX A500,8799.0,xkom,Intel® Core™ Ultra 7 155H,32,NVIDIA RTX A500,"Matowy, LED, WVA",1TB,,1024,Windows 11 Professional,Intel
HP ZBook Firefly 16 G11 Ultra 5‑135H/32GB/1TB/Win11P Touch,8299.0,xkom,Intel® Core™ Ultra 5 135H,32,NVIDIA RTX A500,"Matowy, LED, IPS",1TB,,1024,Windows 11 Professional,Intel
HP ZBook Firefly 14 G11 Ryzen 5 Pro‑8640HS/16GB/1TB/Win11P,6499.0,xkom,AMD Ryzen™ 5 8640HS,16,AMD Radeon™ 760M,"Matowy, LED, IPS",1TB,,1024,Windows 11 Professional,AMD
HP ZBook Firefly 14 G11 Ryzen 7 Pro‑8840HS/32GB/1TB/W11P 120Hz,7899.0,xkom,AMD Ryzen™ 7 8840HS,32,AMD Radeon™ 780M,"Matowy, LED, IPS",1TB,,1024,Windows 11 Professional,AMD
HP ZBook Firefly 14 G11 Ultra 7‑155U/32GB/1TB/Win11P,7699.0,xkom,Intel® Core™ Ultra 7 155U,32,Intel Arc™ Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Professional,Intel
HP ZBook Firefly 14 G11 Ultra 7‑165H/32GB/1TB/Win11P,9299.0,xkom,Intel® Core™ Ultra 7 165H,32,Intel® Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Professional,Intel
HP ZBook Firefly 14 G11 Ultra 7‑165U/32GB/1TB/Win11P,8099.0,xkom,Intel® Core™ Ultra 7 165U,32,Intel® Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Professional,Intel
HP ZBook Firefly 14 G11 Ultra 5‑135H/16GB/1TB/Win11P,7799.0,xkom,Intel® Core™ Ultra 5 135H,16,NVIDIA RTX A500,"Matowy, LED, IPS",1TB,,1024,Windows 11 Professional,Intel
Acer Swift Go Ultra 7 155H/16GB/512/Win11 OLED,3999.0,xkom,Intel® Core™ Ultra 7 155H,16,Intel Arc™ Graphics,"Błyszczący, OLED",512,512,512,Windows 11 Home,Intel
HP OmniBook X AI X Elite X1E‑78‑100/16GB/1TB/Win11,6499.0,xkom,Qualcomm Snapdragon X Elite,16,Qualcomm® Adreno™,"Błyszczący, LED, IPS",1TB,,1024,Windows 11 Home,Qualcomm
Dell Precision 5490 Ultra 7 165H/32GB/1TB/Win11P RTX2000,15399.0,xkom,Intel® Core™ Ultra 7 165H,32,NVIDIA RTX 2000 Ada,"Matowy, LED, IPS",1TB,,1024,Windows 11 Professional,Intel
Dell Precision 3591 Ultra 7 155H/16GB/512/Win11P RTX500,8999.0,xkom,Intel® Core™ Ultra 7 155H,16,NVIDIA RTX 500 Ada,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
Dell Precision 3591 Ultra 7 155H/16GB/512/Win11P RTX1000,9999.0,xkom,Intel® Core™ Ultra 7 155H,16,NVIDIA RTX 1000 Ada,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
Dell Precision 3590 Ultra 7 165H/16GB/512/Win11P RTX500,8999.0,xkom,Intel® Core™ Ultra 7 165H,16,NVIDIA RTX 500 Ada,"Matowy, LED",512,512,512,Windows 11 Professional,Intel
Dell Precision 3590 Ultra 7 155H/16GB/512/Win11P RTX500,7890.0,xkom,Intel® Core™ Ultra 7 155H,16,NVIDIA RTX 500 Ada,"Matowy, LED",512,512,512,Windows 11 Professional,Intel
Dell Precision 3590 Ultra 5 125H/16GB/512/Win11P,6999.0,xkom,Intel® Core™ Ultra 5 125H,16,Intel® Graphics,"Matowy, LED",512,512,512,Windows 11 Professional,Intel
Dell Precision 3490 Ultra 7 155H/16GB/1TB/Win11P RTX500,8599.0,xkom,Intel® Core™ Ultra 7 155H,16,NVIDIA RTX 500 Ada,"Matowy, LED, IPS",1TB,,1024,Windows 11 Professional,Intel
Dell Precision 3490 Ultra 7 155H/16GB/512/Win11P RTX500,8399.0,xkom,Intel® Core™ Ultra 7 155H,16,NVIDIA RTX 500 Ada,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
Lenovo ThinkBook 16 Ultra5‑125U/8GB/512/Win11P,3799.0,xkom,Intel® Core™ Ultra 5 125U,8,Intel® Graphics,"Matowy, LED",512,512,512,Windows 11 Professional,Intel
Lenovo ThinkBook 14 Ultra5‑125U/8GB/512/Win11P,4099.0,xkom,Intel® Core™ Ultra 5 125U,8,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
Lenovo ThinkPad T16 Ryzen 5 PRO 7540U/16GB/512/Win11P,6199.0,xkom,AMD Ryzen™ 5 PRO 7540U,16,AMD Radeon™ 740M,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,AMD
HP Dragonfly Pro One Ryzen 7‑7736U/32GB/1TB/Win11Px White,4699.0,xkom,AMD Ryzen™ 7 7736U,32,AMD Radeon™ Graphics,"Błyszczący, LED, IPS",1TB,,1024,Windows 11 Professional,AMD
ASUS Vivobook 16X i5‑12500H/16GB/1TB/Win11 RTX4050,4599.0,xkom,Intel® Core™ i5-12500H,16,NVIDIA GeForce RTX 4050,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,Intel
ASUS TUF Gaming F16 i7‑13650HX/16GB/1TB/Win11X RTX4060 165Hz,5899.0,xkom,Intel® Core™ i7-13650HX,16,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,Intel
ASUS Zenbook S13 UX5304MA Ultra 7‑155U/32GB/1TB/Win11 OLED,7099.0,xkom,Intel® Core™ Ultra 7 155U,32,Intel® Graphics,"Błyszczący, OLED",1TB,,1024,Windows 11 Home,Intel
Dell Latitude 9450 2w1 Ultra 7 165U/32GB/1TB/Win11P QHD+ Touch,14699.0,xkom,Intel® Core™ Ultra 7 165U,32,Intel® Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Professional,Intel
Dell Latitude 9450 2w1 Ultra 7 165U/32GB/512/Win11P QHD+ Touch,14399.0,xkom,Intel® Core™ Ultra 7 165U,32,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
Dell Latitude 7650 Ultra 7 165U/32GB/512/Win11P,9299.0,xkom,Intel® Core™ Ultra 7 165U,32,Intel® Graphics,"Matowy, LED, WVA",512,512,512,Windows 11 Professional,Intel
Dell Latitude 7650 Ultra 7 165U/16GB/512/Win11P,8699.0,xkom,Intel® Core™ Ultra 7 165U,16,Intel® Graphics,"Matowy, LED, WVA",512,512,512,Windows 11 Professional,Intel
Dell Latitude 7650 Ultra 7 155U/16GB/512/Win11P,8299.0,xkom,Intel® Core™ Ultra 7 155U,16,Intel® Graphics,"Matowy, LED, WVA",512,512,512,Windows 11 Professional,Intel
Dell Latitude 7450 Ultra 7 165U/16GB/512/Win11P,8499.0,xkom,Intel® Core™ Ultra 7 165U,16,Intel® Graphics,"Matowy, LED, WVA",512,512,512,Windows 11 Professional,Intel
Dell Latitude 7450 Ultra 7 165U/16GB/512/Win11P,8199.0,xkom,Intel® Core™ Ultra 7 165U,16,Intel® Graphics,"Matowy, LED, WVA",512,512,512,Windows 11 Professional,Intel
Dell Latitude 7450 Ultra 5 135U/16GB/512/Win11P,7199.0,xkom,Intel® Core™ Ultra 5 135U,16,Intel® Graphics,"Matowy, LED, WVA",512,512,512,Windows 11 Professional,Intel
Dell Latitude 7350 2w1 Ultra 5 134U/16GB/512/Win11P 3K Touch,9799.0,xkom,Intel® Core™ Ultra 5 134U,16,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
Dell Latitude 7350 Ultra 7 165U/32GB/512/Win11P,10399.0,xkom,Intel® Core™ Ultra 7 165U,32,Intel® Graphics,"Matowy, LED, WVA",512,512,512,Windows 11 Professional,Intel
Dell Latitude 7350 Ultra 7 165U/16GB/512/Win11P,8699.0,xkom,Intel® Core™ Ultra 7 165U,16,Intel® Graphics,"Matowy, LED, WVA",512,512,512,Windows 11 Professional,Intel
Dell Latitude 5550 Ultra 5 135U/16GB/1TB/Win11P,6289.0,xkom,Intel® Core™ Ultra 5 135U,16,Intel® Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Professional,Intel
Dell Latitude 5550 i5‑1335U/8GB/512/Win11P,5549.0,xkom,Intel® Core™ i5-1335U,8,Intel UHD,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
Dell Latitude 5550 i5‑1335U/16GB/512/Win11P,5649.0,xkom,Intel® Core™ i5-1335U,16,Intel Iris Xe Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
Dell Latitude 5450 i5‑1345U/16GB/512/Win11P,5799.0,xkom,Intel® Core™ i5-1345U,16,Intel Iris Xe Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
Dell Latitude 5450 Ultra 7 165U/16GB/512/Win11P,6999.0,xkom,Intel® Core™ Ultra 7 165U,16,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
Dell Latitude 5450 Ultra 7 165U/16GB/1TB/Win11P,7299.0,xkom,Intel® Core™ Ultra 7 165U,16,Intel® Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Professional,Intel
Dell Latitude 5450 Ultra 5 135U/16GB/1TB/Win11P,6099.0,xkom,Intel® Core™ Ultra 5 135U,16,Intel® Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Professional,Intel
Dell Latitude 5450 Ultra 5 125U/8GB/512/Win11P,5249.0,xkom,Intel® Core™ Ultra 5 125U,8,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
Dell Latitude 5450 i5‑1335U/16GB/512/Win11P,5449.0,xkom,Intel® Core™ i5-1335U,16,Intel UHD Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
Dell Latitude 5450 i5‑1335U/8GB/512/Win11P,5349.0,xkom,Intel® Core™ i5-1335U,8,Intel UHD Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
Dell Latitude 5350 Ultra 5 135U/16GB/512/Win11P Touch,6349.0,xkom,Intel® Core™ Ultra 5 135U,16,Intel® Graphics,"Matowy, LED",512,512,512,Windows 11 Professional,Intel
Dell Latitude 5350 i5‑1345U/16GB/512/Win11P,5999.0,xkom,Intel® Core™ i5-1345U,16,Intel Iris Xe Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
Dell Latitude 5350 i5‑1335U/16GB/512/Win11P,5899.0,xkom,Intel® Core™ i5-1335U,16,Intel Iris Xe Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
Acer Nitro 17 R7‑8845HS/16GB/1TB+1TB/Win11PX RTX4070 165Hz QHD,7699.0,xkom,AMD Ryzen™ 7 8845HS,16,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",1TB+1TB,,2048,Windows 11 Professional,AMD
Acer Nitro 17 R7‑8845HS/16GB/1TB+1TB/Win11X RTX4070 165Hz QHD,7549.0,xkom,AMD Ryzen™ 7 8845HS,16,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",1TB+1TB,,2048,Windows 11 Home,AMD
Acer Nitro 17 R7‑8845HS/16GB/1TB+1TB RTX4070 165Hz QHD,7049.0,xkom,AMD Ryzen™ 7 8845HS,16,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",,,0,Brak,AMD
Acer Nitro 17 R7‑8845HS/16GB/1TB/Win11PX RTX4070 165Hz QHD,7399.0,xkom,AMD Ryzen™ 7 8845HS,16,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",1TB,,1024,Windows 11 Professional,AMD
Acer Nitro 17 R7‑8845HS/16GB/1TB/Win11X RTX4070 165Hz QHD,7249.0,xkom,AMD Ryzen™ 7 7840HS,16,NVIDIA GeForce RTX 4070 + AMD Radeon™ Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,AMD
Acer Nitro V R5‑7535HS/16GB/1TB+1TB/Win11PX RTX3050 144Hz,4099.0,xkom,AMD Ryzen™ 5 7535HS,16,NVIDIA GeForce RTX 3050,"Matowy, LED",1TB+1TB,,2048,Windows 11 Professional,AMD
Acer Nitro V R5‑7535HS/32GB/1TB+1TB/Win11PX RTX3050 144Hz,4399.0,xkom,AMD Ryzen™ 5 7535HS,32,NVIDIA GeForce RTX 3050,"Matowy, LED",1TB+1TB,,2048,Windows 11 Professional,AMD
