Tytuł,Cena,Sklep,Procesor,RAM,Grafika,Typ ekranu,Dysk,Dysk SSD,Dysk SSD,System operacyjny,Firma procesora
HP 15 i5‑1334U/16GB/512/Win11,2499.0,xkom,Intel® Core™ i5-1334U,16,Intel Iris Xe Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Home,Intel
Acer Aspire 3 i3‑1215U/16GB/1TB/Win11,2249.0,xkom,Intel® Core™ i3-1215U,16,Intel UHD Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,Intel
HP 17 i5‑1334U/32GB/512/Win11 Silver,3249.0,xkom,Intel® Core™ i5-1334U,32,Intel Iris Xe Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Home,Intel
HP Victus 15 i5‑12450H/16GB/1TB/Win11 RTX3050 144Hz,3199.0,xkom,Intel® Core™ i5-12450H,16,NVIDIA GeForce RTX 3050,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,Intel
HP Victus 15 i5‑12450H/16GB/512/Win11 RTX3050 144Hz,3049.0,xkom,Intel® Core™ i5-12450H,16,NVIDIA GeForce RTX 3050,"Matowy, LED, IPS",512,512,512,Windows 11 Home,Intel
HP Pavilion 15 Ryzen 5‑7530U/32GB/1TB/Win11 Fog Blue,3199.0,xkom,AMD Ryzen™ 5 7530U,32,AMD Radeon™ Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,AMD
Dell Inspiron 3525 Ryzen 7 5700U/16GB/512/Win11 120Hz,2499.0,xkom,AMD Ryzen™ 7 5700U,16,AMD Radeon™ Graphics,"Matowy, LED, WVA",512,512,512,Windows 11 Home,AMD
Dell Latitude 3540 i5‑1335U/16GB/512/Win11P,4199.0,xkom,Intel® Core™ i5-1335U,16,Intel Iris Xe Graphics,"Matowy, LED, WVA",512,512,512,Windows 11 Professional,Intel
Lenovo Legion Slim 5‑16 Ryzen 7‑8845HS/16GB/512+1TB/Win11 RTX4060,6399.0,xkom,AMD Ryzen™ 7 8845HS,16,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",512+1TB,,1536,Windows 11 Home,AMD
Lenovo IdeaPad Gaming 3‑15 R5‑5500H/16GB/512+1TB/Win11X RTX2050,3099.0,xkom,AMD Ryzen™ 5 5500H,16,NVIDIA GeForce RTX 2050,"Matowy, LED, IPS",512+1TB,,1536,Windows 11 Home,AMD
Acer Nitro V16 R5‑8645HS/16GB/1TB/Win11 RTX4050 165Hz,4299.0,xkom,AMD Ryzen™ 5 8645HS,16,NVIDIA GeForce RTX 4050,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,AMD
Acer Nitro 16 R7‑8845HS/64GB/1TB+1TB/Win11 RTX4060 165Hz,6449.0,xkom,AMD Ryzen™ 7 8845HS,64,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",1TB+1TB,,2048,Windows 11 Home,AMD
HP Pavilion 16 Ryzen 5‑8540U/16GB/512/Win11,2899.0,xkom,AMD Ryzen™ 5 8540U,16,AMD Radeon™ Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Home,AMD
HP Pavilion 15 i5‑1335U/32GB/1TB/Win11,3299.0,xkom,Intel® Core™ i5-1335U,32,Intel Iris Xe Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,Intel
ASUS Vivobook S16 S5606MA Ultra 7‑155H/32GB/1TB/Win11 OLED 120Hz,5999.0,xkom,Intel® Core™ Ultra 7 155H,32,Intel Arc™ Graphics,"Błyszczący, OLED",1TB,,1024,Windows 11 Home,Intel
Dell G16 7630 i9‑13900HX/32GB/1TB/Win11PX RTX4070 240Hz,10699.0,xkom,Intel® Core™ i9-13900HX,32,NVIDIA GeForce RTX 4070 + Intel UHD Graphics,"Matowy, LED, WVA",1TB,,1024,Windows 11 Professional,Intel
ASUS TUF Gaming A15 R7‑7435HS/16GB/512/Win11 RTX3050 144Hz,3799.0,xkom,AMD Ryzen™ 7 7435HS,16,NVIDIA GeForce RTX 3050,"Matowy, LED, IPS",512,512,512,Windows 11 Home,AMD
"Microsoft Surface Laptop Copilot+ PC 13"" X Plus/16GB/256GB (Platynowy)",4999.0,xkom,Qualcomm Snapdragon X Plus,16,Qualcomm® Adreno™,"Błyszczący, LED",,,0,Brak,Qualcomm
HP Dragonfly Pro One Ryzen 7‑7736U/32GB/1TB/Win11 White,3999.0,xkom,AMD Ryzen™ 7 7736U,32,AMD Radeon™ Graphics,"Błyszczący, LED, IPS",1TB,,1024,Windows 11 Home,AMD
HP Pavilion 16 Ryzen 7‑8840U/16GB/1TB/Win11 Touch,3599.0,xkom,AMD Ryzen™ 7 8840U,16,AMD Radeon™ Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,AMD
ASUS ExpertBook B1402CVA i5‑1335U/16GB/512/Win11P,3399.0,xkom,Intel® Core™ i5-1335U,16,Intel UHD Graphics,,512,512,512,Windows 11 Professional,Intel
HP Envy 14 x360 Ryzen 5‑8640HS/16GB/512/Win11 Touch,3699.0,xkom,AMD Ryzen™ 5 8640HS,16,AMD Radeon™ Graphics,"Błyszczący, LED, IPS",512,512,512,Windows 11 Home,AMD
HP Pavilion Plus 14 Ultra 5‑125H/16GB/512/Win11 120Hz OLED,4299.0,xkom,Intel® Core™ Ultra 5 125H,16,Intel Arc™ Graphics,"Błyszczący, OLED",512,512,512,Windows 11 Home,Intel
Dell Inspiron 16 5645 Ryzen 7 8840U/16GB/1TB/Win11,4399.0,xkom,AMD Ryzen™ 7 8840U,16,AMD Radeon™ Graphics,"Matowy, LED, WVA",1TB,,1024,Windows 11 Home,AMD
Gigabyte G5 (2024) i7‑13620H/32GB/512+1TB RTX4050 144Hz,4199.0,xkom,Intel® Core™ i7-13620H,32,NVIDIA GeForce RTX 4050,"Matowy, LED, IPS",,,0,Brak,Intel
Dell Vostro 3520 i5‑1235U/8GB/512/Win11P,2499.0,xkom,Intel® Core™ i5-1235U,8,Intel UHD,"Matowy, LED, WVA",512,512,512,Windows 11 Professional,Intel
ASUS Vivobook 16X i5‑13500H/24GB/1TB/Win11 RTX3050,3899.0,xkom,Intel® Core™ i5-13500H,24,NVIDIA GeForce RTX 3050 + Intel UHD Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,Intel
ASUS TUF Gaming A16 Adv. Edition R7‑7435HS/16GB/512/Win11 RX7600S,3999.0,xkom,AMD Ryzen™ 7 7435HS,16,AMD Radeon™ RX 7600S,"Matowy, LED, IPS",512,512,512,Windows 11 Home,AMD
Lenovo IdeaPad Pro 5‑16 Ultra 5‑125H/32GB/512/Win11,4799.0,xkom,Intel® Core™ Ultra 5 125H,32,Intel Arc™ Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Home,Intel
ASUS ZenBook 14 UX3405MA Ultra 5‑125H/16GB/1TB/Win11 OLED 120Hz,4599.0,xkom,Intel® Core™ Ultra 5 125H,16,Intel Arc™ Graphics,"Błyszczący, OLED",1TB,,1024,Windows 11 Home,Intel
HP 17 i5‑1334U/16GB/1TB/Win11 Silver,3149.0,xkom,Intel® Core™ i5-1334U,16,Intel Iris Xe Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,Intel
Apple MacBook Air M2/8GB/256/Mac OS Silver 36msc,4999.0,xkom,Apple M2,8,Apple M2 [8 rdzeni],"Błyszczący, LED, IPS, Liquid Retina",256,256,256,macOS Sonoma,Apple
Apple MacBook Air M3/16GB/256/Mac OS Północ 8R GPU,5199.0,xkom,Apple M3,16,Apple M3 [8 rdzeni],"Błyszczący, LED, IPS, Liquid Retina",256,256,256,macOS Sonoma,Apple
