Tytuł,Cena,Link,Ekran:,Procesor:,Pamięć:,Grafika:,Dysk:,System operacyjny:
"Laptop gamingowy Acer Nitro 16 AN16-42-R0YM 16"" 165Hz R7 8845HS 32GB RAM 1TB Dysk SSD RTX4070 DLSS3 Czarny",6 999,https://www.euro.com.pl/laptopy-i-netbooki/acer-laptop-nitro-16-r7-32gb-1tb-4070-no-os.bhtml,"16 "", 2560 x 1600 pikseli 165 Hz",AMD Ryzen™ 7 8845HS,32 GB DDR5 5600 Mhz RAM,NVIDIA® GeForce RTX™ 4070 + AMD Radeon™ 780M,1 TB SSD,bez systemu
"Laptop gamingowy ASUS ROG Zephyrus Duo 16 2023 GX650PZ-NM015W 16"" 240Hz R9 7945HX 32GB RAM 2TB Dysk SSD RTX4080 DLSS3 Win11 Czarny",14 999,https://www.euro.com.pl/laptopy-i-netbooki/asus-laptop-gx650-r9-32gb-2tb-4080-w11.bhtml,"16 "", 2560 x 1600 pikseli 240 Hz",AMD Ryzen™ 9 7945HX,32 GB DDR5 4800 Mhz RAM,NVIDIA® GeForce RTX™ 4080 + AMD Radeon™ 610M Graphics,2 TB SSD,Windows 11 Home Edition
"Apple MacBook Air 2024 15,3"" M3 8GB RAM 256GB Dysk macOS Północ",5 399,https://www.euro.com.pl/laptopy-i-netbooki/apple-laptop-mba-15-8gb-256gb-midnight_1.bhtml,"15,3"", 2880 x 1864 pikseli",Apple M3,8 GB zunifikowana RAM,Apple M3 (10-rdzeni),256 GB SSD,macOS Sonoma lub nowszy
"Laptop 2w1 Dell Inspiron 3535-0696 15,6"" R5 7530U 8GB RAM 512GB Dysk SSD Win11 Srebrny",2 149,https://www.euro.com.pl/laptopy-i-netbooki/dell-laptop-3535-r5-8gb-512gb-w11-touch.bhtml,"15,6 "", ekran dotykowy 1920 x 1200 pikseli 60 Hz",AMD Ryzen™ 5 7530U,8 GB DDR4 3200 MHz RAM,AMD Radeon™ Graphics,512 GB SSD,Windows 11 Home Edition
"Laptop ASUS Vivobook 15 M1502YA-BQ048W 15,6"" R5 7530U 16GB RAM 512GB Dysk SSD Win11 Niebieski",2 199,https://www.euro.com.pl/laptopy-i-netbooki/asus-laptop-m1502-r5-16gb-512gb-w11.bhtml,"15,6 "", 1920 x 1080 pikseli 60 Hz",AMD Ryzen™ 5 7530U,16 GB DDR4 RAM,AMD Radeon™ Graphics,512 GB SSD,Windows 11 Home Edition
"Laptop gamingowy Gigabyte G5 MF 2024 MF5-H2EE353KD 15,6"" 144Hz i7-13620H 16GB RAM 512GB Dysk SSD RTX4050 DLSS3 Szary",3 499,https://www.euro.com.pl/laptopy-i-netbooki/gigabyte-laptop-g5-i7-16gb-512gb-4050-no-os.bhtml,"15,6 "", 1920 x 1080 pikseli 144 Hz",Intel® Core™ i7 13gen 13620H,16 GB DDR5 4800 Mhz RAM,NVIDIA® GeForce RTX 4050 + Intel Iris Xe Graphics,512 GB SSD,bez systemu
"Apple MacBook Air 2024 13,6"" M3 8GB RAM 512GB Dysk macOS Gwiezdna Szarość",5 299,https://www.euro.com.pl/laptopy-i-netbooki/apple-laptop-mba-13-6-8gb-512gb-grey.bhtml,"13,6 "", 2560 x 1664 pikseli",Apple M3,8 GB zunifikowana RAM,Apple M3 (10-rdzeni),512 GB SSD,macOS Sonoma lub nowszy
"Laptop 2w1 Acer Aspire Spin 14 ASP14-51MTN-75S5 14"" Core 7 150U 16GB RAM 1TB Dysk SSD Win11 Szary",3 499,https://www.euro.com.pl/laptopy-i-netbooki/acer-laptop-spin-5-14-u7-16gb-1tb-w11.bhtml,"14 "", ekran dotykowy 1920 x 1200 pikseli 60 Hz",Intel® Core™ 7 150U,16 GB LPDDR5 RAM,Intel® Graphics,1 TB SSD,Windows 11 Home Edition
"Laptop gamingowy Acer Nitro V 15 ANV15-41-R725 15,6"" 144Hz R5 7535HS 32GB RAM 1TB Dysk SSD RTX4060 DLSS3 Win11 Czarny",4 999,https://www.euro.com.pl/laptopy-i-netbooki/acer-laptop-nitro-v-r5-32gb-1tb-4060-w11.bhtml,"15,6 "", 1920 x 1080 pikseli 144 Hz",AMD Ryzen™ 5 7535HS,32 GB DDR5 RAM,NVIDIA® GeForce RTX™ 4060 + AMD Radeon™ 660M,1 TB SSD,Windows 11 Home Edition
"Laptop 2w1 Lenovo Yoga Book 9 13IMU9 OLED 2x13,3"" Ultra 7 155U 32GB RAM 512GB Dysk SSD Win11 Srebrno-niebieski",12 999,https://www.euro.com.pl/laptopy-i-netbooki/lenovo-laptop-yoga-13-i7-32gb-512-gb-w11.bhtml,"13,3 "", ekran dotykowy 2880 x 1800 pikseli 60 Hz",Intel® Core™ Ultra 7 14gen 155U,32 GB LPDDR5x 7467 Mhz RAM,Intel® Graphics,512 GB SSD,Windows 11 Home Edition
"Laptop gamingowy Lenovo LOQ 15IAX9 15,6"" 144Hz i5-12450HX 16GB RAM 512GB Dysk SSD RTX4050 Szary",4 299,https://www.euro.com.pl/laptopy-i-netbooki/lenovo-laptop-loq-i5-16-512gb-4060-nos.bhtml,"15,6 "", 1920 x 1080 pikseli 144 Hz",Intel® Core™ i5 12gen 12450HX,16 GB DDR5 4800 Mhz RAM,NVIDIA® GeForce RTX™ 4050 + Intel UHD Graphics,512 GB SSD,bez systemu
"Laptop ASUS Vivobook 16X M3604YA-MB187W 16"" R7 7730U 16GB RAM 1TB Dysk SSD Win11 Srebrny",3 199,https://www.euro.com.pl/laptopy-i-netbooki/asus-laptop-m3604-16-r7-16gb-1tb-w11.bhtml,"16 "", 1920 x 1200 pikseli 60 Hz",AMD Ryzen™ 7 7730U,16 GB DDR4 RAM,AMD Radeon™ Graphics,1 TB SSD,Windows 11 Home Edition
"Laptop gamingowy Acer Nitro 17 AN17-41-R7DP 17,3"" 165Hz R5 7535HS 16GB RAM 512GB Dysk SSD RTX4050 DLSS3 Win11 Czarny",5 799,https://www.euro.com.pl/laptopy-i-netbooki/acer-laptop-nitro-5-17-r5-16gb-512gb-4050-w11.bhtml,"17,3 "", 1920 x 1080 pikseli 165 Hz",AMD Ryzen™ 5 7535HS,16 GB DDR5 RAM,NVIDIA® GeForce RTX™ 4050 + AMD Radeon™ 660M,512 GB SSD,Windows 11 Home Edition
"Laptop 2w1 Lenovo Yoga 7 14AHP9 OLED 14"" R5 8640HS 16GB RAM 1TB Dysk SSD Win11 Szary",4 499,https://www.euro.com.pl/laptopy-i-netbooki/lenovo-laptop-lenovo-yoga-7-14-r5-16gb-1tb-w11.bhtml,"14 "", ekran dotykowy 1920 x 1080 pikseli 60 Hz",AMD Ryzen™ 5 8640HS,16 GB LPDDR5x 6400 Mhz RAM,AMD Radeon™ 760M Graphics,1 TB SSD,Windows 11 Home Edition
"Laptop gamingowy Lenovo LOQ 15IAX9 15,6"" 144Hz i5-12450HX 16GB RAM 512GB Dysk SSD RTX3050 Szary",2 999,https://www.euro.com.pl/laptopy-i-netbooki/lenovo-laptop-loq-i5-16gb-512gb-3050-no-os.bhtml,"15,6 "", 1920 x 1080 pikseli 144 Hz",Intel® Core™ i5 12gen 12450HX,16 GB DDR5 4800 Mhz RAM,NVIDIA® GeForce RTX™ 3050 + Intel UHD Graphics,512 GB SSD,bez systemu
"Laptop gamingowy MSI Katana 15 B13VFK-2041PL 15,6"" 144Hz i7-13620H 16GB RAM 1TB Dysk SSD RTX4060 DLSS3 Win11 Czarny",5 099,https://www.euro.com.pl/laptopy-i-netbooki/msi-laptop-katana-15-i7-16gb-1tb-4060-w11.bhtml,"15,6 "", 1920 x 1080 pikseli 144 Hz",Intel® Core™ i7 13gen 13620H,16 GB DDR5 5200 Mhz RAM,NVIDIA® GeForce RTX™ 4060 + Intel UHD Graphics,1 TB SSD,Windows 11 Home Edition
"Laptop HP Pavilion 15-eh3412nw 15,6"" R5 7530U 16GB RAM 512GB Dysk SSD Win11 Srebrny",2 399,https://www.euro.com.pl/laptopy-i-netbooki/hp-laptop-pavilion-r5-7530-16gb-512ssd-w11.bhtml,"15,6 "", 1920 x 1080 pikseli 60 Hz",AMD Ryzen™ 5 7530U,16 GB DDR4 3200 MHz RAM,AMD Radeon™ Graphics,512 GB SSD,Windows 11 Home Edition
"Laptop gamingowy Lenovo Legion 5 16IRX9 16"" 240Hz i7-14650HX 16GB RAM 512GB Dysk SSD RTX4070 DLSS3 Win11 Szary",7 399,https://www.euro.com.pl/laptopy-i-netbooki/lenovo-laptop-l5-i7-16gb-512gb-4070-w11.bhtml,"16 "", 2560 x 1600 pikseli 240 Hz",Intel® Core™ i7 14gen 14650HX,16 GB DDR5 4800 Mhz RAM,NVIDIA® GeForce RTX™ 4070 + Intel UHD Graphics,512 GB SSD,Windows 11 Home Edition
"Laptop Acer Swift Go 14 SFG14-72-569V OLED 14"" Ultra 5 125H 16GB RAM 512GB Dysk SSD Win11 Srebrny",3 949,https://www.euro.com.pl/laptopy-i-netbooki/acer-laptop-swift-3-14-core-u5-16gb-512gb-w11.bhtml,"14 "", 2880 x 1800 pikseli 60 Hz",Intel® Core™ Ultra 5 14gen 125H,16 GB LPDDR5X RAM,Intel® Arc Graphics,512 GB SSD,Windows 11 Home Edition
"Laptop gamingowy Lenovo Legion 5 16IRX9 16"" 240Hz i7-14650HX 16GB RAM 512GB Dysk SSD RTX4070 DLSS3 Win11 Szary",7 399,https://www.euro.com.pl/laptopy-i-netbooki/lenovo-laptop-l5-i7-16gb-512gb-4070-w11.bhtml,"16 "", 2560 x 1600 pikseli 240 Hz",Intel® Core™ i7 14gen 14650HX,16 GB DDR5 4800 Mhz RAM,NVIDIA® GeForce RTX™ 4070 + Intel UHD Graphics,512 GB SSD,Windows 11 Home Edition
"Laptop Acer Swift Go 14 SFG14-72-569V OLED 14"" Ultra 5 125H 16GB RAM 512GB Dysk SSD Win11 Srebrny",3 949,https://www.euro.com.pl/laptopy-i-netbooki/acer-laptop-swift-3-14-core-u5-16gb-512gb-w11.bhtml,"14 "", 2880 x 1800 pikseli 60 Hz",Intel® Core™ Ultra 5 14gen 125H,16 GB LPDDR5X RAM,Intel® Arc Graphics,512 GB SSD,Windows 11 Home Edition
"Laptop Lenovo IdeaPad Slim 3 15ABR8 15,6"" R5 7530U 8GB RAM 512GB Dysk SSD Win11 Szary",1 899,https://www.euro.com.pl/laptopy-i-netbooki/lenovo-laptop-ip3s-r5-8gb-512gb-w11.bhtml,"15,6 "", 1920 x 1080 pikseli 60 Hz",AMD Ryzen™ 5 7530U,8 GB DDR4 3200 MHz RAM,AMD Radeon™ Graphics,512 GB SSD,Windows 11 Home Edition
"Laptop Acer Extensa 15 EX215-55-51WD 15,6"" i5-1235U 16GB RAM 1TB Dysk SSD Win11 Szary",2 799,https://www.euro.com.pl/laptopy-i-netbooki/acer-laptop-extensa-215-i5-16gb-1tb-w11_1.bhtml,"15,6 "", 1920 x 1080 pikseli 60 Hz",Intel® Core™ i5 12gen 1235U,16 GB DDR4 RAM,Intel® Iris Xe Graphics,1 TB SSD,Windows 11 Home Edition
"Laptop Lenovo Yoga Slim 6 14IRH8 OLED 14"" i5-13500H 16GB RAM 512GB Dysk SSD Win11 Szary",3 579,https://www.euro.com.pl/laptopy-i-netbooki/lenovo-laptop-yoga-6-14-i5-16gb-512gb-w11.bhtml,"14 "", 1920 x 1200 pikseli 60 Hz",Intel® Core™ i5 13gen 13500H,16 GB LPDDR5x 5200 Mhz RAM,Intel® Iris Xe Graphics,512 GB SSD,Windows 11 Home Edition
"Laptop gamingowy HP Victus 16-s0452nw 16,1"" 144Hz R7 7840HS 16GB RAM 512GB Dysk SSD RTX4060 DLSS3 Win11 Czarno-srebrny",4 599,https://www.euro.com.pl/laptopy-i-netbooki/hp-laptop-victus-16-r7-16gb-512gb-4060-w11.bhtml,"16,1 "", 1920 x 1080 pikseli 144 Hz",AMD Ryzen™ 7 7840HS,16 GB DDR5 5600 Mhz RAM,NVIDIA® GeForce RTX™ 4060 + AMD Radeon™ 780M,512 GB SSD,Windows 11 Home Edition
"Apple MacBook Air 2024 15,3"" M3 16GB RAM 512GB Dysk macOS Północ",6 999,https://www.euro.com.pl/laptopy-i-netbooki/apple-laptop-mba-15-16gb-512gb-midnight.bhtml,"15,3"", 2880 x 1864 pikseli",Apple M3,16 GB zunifikowana RAM,Apple M3 (10-rdzeni),512 GB SSD,macOS Sonoma lub nowszy
"Apple MacBook Air 2024 13,6"" M3 16GB RAM 256GB Dysk macOS Północ",5 199,https://www.euro.com.pl/laptopy-i-netbooki/apple-laptop-mba-13-m3-8-8-16gb-256gb-m.bhtml,"13,6 "", 2560 x 1664 pikseli",Apple M3,16 GB zunifikowana RAM,Apple M3 (8-rdzeni),256 GB SSD,macOS Sonoma lub nowszy
"Laptop gamingowy Lenovo LOQ 15IRH8 15,6"" 144Hz i5-12450H 16GB RAM 512GB Dysk SSD RTX3050 Win11 Szary",3 299,https://www.euro.com.pl/laptopy-i-netbooki/lenovo-laptop-loq-i5-16gb-512gb-3050-w11.bhtml,"15,6 "", 1920 x 1080 pikseli 144 Hz",Intel® Core™ i5 12gen 12450H,16 GB DDR5 4800 Mhz RAM,NVIDIA® GeForce RTX™ 3050 + Intel UHD Graphics,512 GB SSD,Windows 11 Home Edition
"Laptop gamingowy Lenovo Legion Slim 5 16AHP9 16"" 240Hz R7 8845HS 16GB RAM 512GB Dysk SSD RTX4060 DLSS3 Win11 Szary",6 299,https://www.euro.com.pl/laptopy-i-netbooki/lenovo-laptop-lenovo-l5-r7-16gb-512gb-4060-w11.bhtml,"16 "", 2560 x 1600 pikseli 240 Hz",AMD Ryzen™ 7 8845HS,16 GB DDR5 5600 Mhz RAM,NVIDIA® GeForce RTX™ 4060 + AMD Radeon™ 780M,512 GB SSD,Windows 11 Home Edition
"Laptop gamingowy HP Victus 15-fa1652nw 15,6"" 144Hz i5-12450H 16GB RAM 512GB Dysk SSD RTX4050 DLSS3 Win11 Czarno-srebrny",3 899,https://www.euro.com.pl/laptopy-i-netbooki/hp-laptop-victus-i5-16gb-512gb-ssd-4050-w11_1.bhtml,"15,6 "", 1920 x 1080 pikseli 144 Hz",Intel® Core™ i5 12gen 12450H,16 GB DDR4 3200 MHz RAM,NVIDIA® GeForce RTX™ 4050 + Intel UHD Graphics,512 GB SSD,Windows 11 Home Edition
"Laptop ASUS Vivobook Go 15 OLED E1504FA-L1367W 15,6"" R5 7520U 16GB RAM 512GB Dysk SSD Win11 Czarny",2 499,https://www.euro.com.pl/laptopy-i-netbooki/asus-vivobook-go-15-oled-e1504fa-l1367w-15-6-r5-7520u-16gb-ram-512gb-dysk-win11.bhtml,"15,6 "", 1920 x 1080 pikseli 60 Hz",AMD Ryzen™ 5 7520U,16 GB LPDDR5 RAM,AMD Radeon™ 610M,512 GB SSD,Windows 11 Home Edition
"Laptop gamingowy ASUS TUF Gaming A15 FA506NCR-HN019 15,6''144Hz R7 7435HS 16GB RAM 512GB Dysk SSD RTX3050 Czarny",3 399,https://www.euro.com.pl/laptopy-i-netbooki/asus-laptop-asus-tuf-r7-16gb-512gb-3050-no-os.bhtml,"15,6 "", 1920 x 1080 pikseli 144 Hz",AMD Ryzen™ 7 7435HS,16 GB DDR5 4800 Mhz RAM,NVIDIA® Geforce RTX 3050,512 GB SSD,bez systemu
"Laptop Lenovo Yoga Slim 7 15ILL9 Aura Edition 15,3"" Ultra 7 256V 16GB RAM 512GB Dysk SSD Win11 Szary",5 999,https://www.euro.com.pl/laptopy-i-netbooki/lenovo-laptop-lenovo-yoga-s7-u7-16gb-512gb-w11.bhtml,"15,3"", ekran dotykowy 2880 x 1800 pikseli 120 Hz",Intel® Core™ Ultra 7 14gen 256V,16 GB LPDDR5x 8533 Mhz RAM,Intel® Arc™ Graphics 140V,512 GB SSD,Windows 11 Home Edition
"Laptop ultrabook ASUS Zenbook S 14 OLED UX5406SA-PV030W 14"" Ultra 7 258V 32GB RAM 1TB Dysk SSD Win11 Biały",7 999,https://www.euro.com.pl/laptopy-i-netbooki/asus-laptop-ux5406-14-u7-32gb-1tb-w11.bhtml,"14 "", 2880 x 1800 pikseli 120 Hz",Intel® Core™ Ultra 7 14gen 258V,32 GB LPDDR5X RAM,Intel® Arc™ Graphics 140V,1 TB SSD,Windows 11 Home Edition
