Tytuł,Cena,Sklep,Procesor:,RAM:,Dysk SSD:,Karta graficzna:,Ekran:,System operacyjny:,Dysk HDD:
"Laptop HP 250 G8 15.6"" IPS i5-1035G1 8GB RAM 256GB SSD","2 587
49
zł",ediaexpert,Intel Core i5-1035G1,"8GB, DDR4, 2666MHz",256GB PCIe NVMe,Intel UHD Graphics,"15.6"", 1920 x 1080px, Matryca IPS, LED",Brak,
"Laptop ASUS ROG Strix G15 G513RW-HQ143 15.6"" IPS 165Hz R7-6800H 16GB RAM 1TB SSD GeForce RTX3070Ti","7 139
00
zł",ediaexpert,AMD Ryzen 7 6800H,"16GB, DDR5, 4800MHz",1000GB PCIe NVMe 4.0,NVIDIA GeForce RTX 3070 Ti + AMD Radeon 680M,"15.6"", 2560 x 1440px, Matryca IPS, 165Hz",Brak,
"Laptop MSI Creator Z16P B12UHST-022PL 16"" IPS 165Hz i9-12900H 32GB RAM 2TB SSD GeForce RTX3080Ti Max-Q Windows 11 Professional","16 999
98
zł",ediaexpert,Intel Core i9-12900H,"32GB, DDR5, 4800MHz",2000GB PCIe NVMe 4.0,NVIDIA GeForce RTX 3080 Ti + Intel Iris Xe Graphics,"16"", 2560 x 1600px, Matryca IPS, LED, 165Hz, Ekran dotykowy",Windows 11 Professional,
"Laptop PREDATOR Triton 500 SE PT516-51S 16"" IPS 165Hz i9-11900H 16GB RAM 1TB SSD GeForce RTX3080 Windows 10 Home","13 999
99
zł",ediaexpert,Intel Core i9-11900H,"16GB, DDR4, 3200MHz",1000GB PCIe NVMe,NVIDIA GeForce RTX 3080 + Intel UHD Graphics,"16"", 2560 x 1600px, Matryca IPS, 165Hz",Windows 10 Home,
"Laptop PREDATOR Triton 500 SE PT516-51S 16"" IPS 165Hz i7-11800H 16GB RAM 1TB SSD GeForce RTX3070 Windows 10 Home","10 399
99
zł",ediaexpert,Intel Core i7-11800H,"16GB, DDR4, 3200MHz",1000GB PCIe NVMe,NVIDIA GeForce RTX 3070 + Intel UHD Graphics,"16"", 2560 x 1600px, Matryca IPS, 165Hz",Windows 10 Home,
"Laptop ACER ConceptD 5 Pro CN516-72P-78U0 16"" IPS i7-11800H 16GB RAM 1TB SSD GeForce RTXA3000 Windows 10 Professional","11 449
99
zł",ediaexpert,Intel Core i7-11800H,"16GB, DDR4",1000GB PCIe NVMe,NVIDIA GeForce RTX A3000 + Intel UHD Graphics,"16"", 3072 x 1920px, Matryca IPS, LED, 60Hz",Windows 10 Professional,
"Laptop RAZER Blade Stealth 13.3"" OLED i7-1165G7 16GB RAM 512GB SSD GeForce GTX1650Ti Max-Q Windows 10 Home","10 999
99
zł",ediaexpert,Intel Core i7-1165G7,"16GB, DDR4, 2666MHz",512GB PCIe NVMe,NVIDIA GeForce GTX 1650 Ti + Intel Iris Xe Graphics,"13.3"", 1920 x 1080px, 60Hz, Ekran dotykowy",Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),
"Laptop HP Envy 13-BA0011NW 13.3"" IPS i7-1065G7 8GB RAM 512GB SSD Windows 10 Home","5 199
99
zł",ediaexpert,Intel Core i7-1065G7,"8GB, DDR4, 2666MHz",512GB PCIe NVMe,Intel Iris Plus Graphics,"13.3"", 1920 x 1080px, Matryca IPS, 60Hz",Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),
"Laptop DELL Alienware M17 R4 17.3"" 360Hz i7-10870H 32GB RAM 2 x 256GB SSD GeForce RTX3070 Windows 10 Home","14 499
99
zł",ediaexpert,Intel Core i7-10870H,"32GB, DDR4, 2933MHz",256 (x2)GB PCIe NVMe 3.0 x4,NVIDIA GeForce RTX 3070 + Intel UHD Graphics 630,"17.3"", 1920 x 1080px, Matryca WVA, 360Hz",Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),
"Laptop MSI GE76 Raider 10UH-212PL 17.3"" IPS i9-10980HK 32GB RAM 2TB SSD GeForce RTX3080 Windows 10 Home","17 999
99
zł",ediaexpert,Intel Core i9-10980HK,"32GB, DDR4, 3200MHz",2000GB PCIe NVMe 3.0 x4,NVIDIA GeForce RTX 3080 + Intel UHD Graphics,"17.3"", 3840 x 2160px, Matryca IPS, LED",Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),
